mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1	1.0		1/4	1/4	2/2	1	1	1/4		1/4	1		5	59	B3	3	0
1	1	2	2	1.0		1/2	1/2	2/2	1	1	1/4		1/4	1		7	61	C#4	4	1
1	1	2	2	1.0		1/2	1/2	2/2	1	1	1/4		1/4	1		4	64	E4	4	1
1	1	3	3	1.0		3/4	3/4	2/2	1	1	1/4		1/4	1		0	60	C4	4	2
1	1	3	3	1.0		3/4	3/4	2/2	1	1	1/4		1/4	1		6	66	F#4	4	2
2	2	4	4	1.0		0	0	2/2	2	1	1/4		1/4	1		4	40	E2	2	12
2	2	4	4	1.0		0	0	2/2	2	1	1/4		1/4	1		5	47	B2	2	12
2	2	4	4	4.0		0	0	2/2	1	2	1		1	1		5	59	B3	3	11
2	2	4	4	0.75		0	0	2/2	1	1	3/16		1/8	3/2		1	67	G4	4	3
2	2	19/4	19/4	0.25		3/16	3/16	2/2	1	1	1/16		1/16	1		-2	70	Bb4	4	4
2	2	5	5	1.0		1/4	1/4	2/2	2	1	1/4		1/4	1		8	56	G#3	3	13
2	2	5	5	1.0		1/4	1/4	2/2	2	1	1/4		1/4	1		7	61	C#4	4	13
2	2	5	5	1.0		1/4	1/4	2/2	2	1	1/4		1/4	1		2	62	D4	4	13
2	2	5	5	0.75		1/4	1/4	2/2	1	1	3/16		1/8	3/2		4	64	E4	4	5
2	2	23/4	23/4	0.25		7/16	7/16	2/2	1	1	1/16		1/16	1		6	66	F#4	4	6
2	2	6	6	1.0		1/2	1/2	2/2	2	1	1/4		1/4	1		4	40	E2	2	14
2	2	6	6	1.0		1/2	1/2	2/2	2	1	1/4		1/4	1		5	47	B2	2	14
2	2	6	6	0.75		1/2	1/2	2/2	1	1	3/16		1/8	3/2		1	67	G4	4	7
2	2	27/4	27/4	0.25		11/16	11/16	2/2	1	1	1/16		1/16	1		-2	70	Bb4	4	8
2	2	7	7	1.0		3/4	3/4	2/2	2	1	1/4		1/4	1		8	56	G#3	3	15
2	2	7	7	1.0		3/4	3/4	2/2	2	1	1/4		1/4	1		7	61	C#4	4	15
2	2	7	7	1.0		3/4	3/4	2/2	2	1	1/4		1/4	1		2	62	D4	4	15
2	2	7	7	0.75		3/4	3/4	2/2	1	1	3/16		1/8	3/2		4	64	E4	4	9
2	2	31/4	31/4	0.25		15/16	15/16	2/2	1	1	1/16		1/16	1		6	66	F#4	4	10
3	3	8	8	1.0		0	0	2/2	2	1	1/4		1/4	1		-5	37	Db2	2	27
3	3	8	8	1.0		0	0	2/2	2	1	1/4		1/4	1		-4	44	Ab2	2	27
3	3	8	8	1.0		0	0	2/2	2	1	1/4		1/4	1		-1	53	F3	3	27
3	3	8	8	0.75		0	0	2/2	1	2	3/16		1/8	3/2		0	60	C4	4	19
