mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.25		0	0	2/4	2	1	1/16	1/16	1		3	57	A3	3	8
1	1	0	0.25		0	0	2/4	2	1	1/16	1/16	1		4	64	E4	4	8
1	1	0	0.125		0	0	2/4	1	1	1/32	1/32	1		3	69	A4	4	0
1	1	0	0.125		0	0	2/4	1	1	1/32	1/32	1		2	74	D5	5	0
1	1	1/4	0.125		1/16	1/16	2/4	1	1	1/32	1/32	1		6	66	F#4	4	1
1	1	1/4	0.125		1/16	1/16	2/4	1	1	1/32	1/32	1		7	73	C#5	5	1
1	1	3/8	0.125		3/32	3/32	2/4	1	1	1/32	1/32	1		3	69	A4	4	2
1	1	3/8	0.125		3/32	3/32	2/4	1	1	1/32	1/32	1		2	74	D5	5	2
1	1	1/2	0.25		1/8	1/8	2/4	2	1	1/16	1/16	1		3	45	A2	2	9
1	1	1/2	0.25		1/8	1/8	2/4	2	1	1/16	1/16	1		6	54	F#3	3	9
1	1	1/2	0.25		1/8	1/8	2/4	1	1	1/16	1/16	1		6	66	F#4	4	3
1	1	1/2	0.25		1/8	1/8	2/4	1	1	1/16	1/16	1		5	71	B4	4	3
1	1	3/4	0.25		3/16	3/16	2/4	2	1	1/16	1/16	1		2	38	D2	2	10
1	1	3/4	0.25		3/16	3/16	2/4	1	1	1/16	1/16	1		-1	65	F4	4	4
1	1	3/4	0.25		3/16	3/16	2/4	1	1	1/16	1/16	1		-2	70	Bb4	4	4
1	1	1	0.25		1/4	1/4	2/4	2	1	1/16	1/16	1		3	45	A2	2	11
1	1	1	0.25		1/4	1/4	2/4	2	1	1/16	1/16	1		6	54	F#3	3	11
1	1	1	0.25		1/4	1/4	2/4	1	1	1/16	1/16	1		6	66	F#4	4	5
1	1	1	0.25		1/4	1/4	2/4	1	1	1/16	1/16	1		7	73	C#5	5	5
1	1	3/2	0.25		3/8	3/8	2/4	2	1	1/16	1/16	1		0	60	C4	4	12
1	1	3/2	0.25		3/8	3/8	2/4	1	1	1/16	1/16	1		-1	65	F4	4	6
1	1	3/2	0.25		3/8	3/8	2/4	2	1	1/16	1/16	1		1	67	G4	4	12
1	1	3/2	0.25		3/8	3/8	2/4	1	1	1/16	1/16	1		0	72	C5	5	6
1	1	7/4	0.25		7/16	7/16	2/4	2	1	1/16	1/16	1		3	57	A3	3	13
1	1	7/4	0.25		7/16	7/16	2/4	1	1	1/16	1/16	1		4	64	E4	4	7
1	1	7/4	0.25		7/16	7/16	2/4	2	1	1/16	1/16	1		6	66	F#4	4	13
1	1	7/4	0.25		7/16	7/16	2/4	1	1	1/16	1/16	1		3	69	A4	4	7
2	2	2	0.25		0	0	2/4	2	1	1/16	1/16	1		0	60	C4	4	25
2	2	2	0.125		0	0	2/4	1	1	1/32	1/32	1		-1	65	F4	4	14
2	2	2	0.25		0	0	2/4	2	1	1/16	1/16	1		1	67	G4	4	25
2	2	2	0.125		0	0	2/4	1	1	1/32	1/32	1		0	72	C5	5	14
2	2	9/4	0.125		1/16	1/16	2/4	1	1	1/32	1/32	1		4	64	E4	4	15
2	2	9/4	0.125		1/16	1/16	2/4	1	1	1/32	1/32	1		5	71	B4	4	15
2	2	19/8	0.125		3/32	3/32	2/4	1	1	1/32	1/32	1		-1	65	F4	4	16
2	2	19/8	0.125		3/32	3/32	2/4	1	1	1/32	1/32	1		0	72	C5	5	16
2	2	5/2	0.25		1/8	1/8	2/4	2	1	1/16	1/16	1		3	45	A2	2	26
2	2	5/2	0.25		1/8	1/8	2/4	2	1	1/16	1/16	1		-1	53	F3	3	26
2	2	5/2	0.25		1/8	1/8	2/4	1	1	1/16	1/16	1		4	64	E4	4	17
2	2	5/2	0.25		1/8	1/8	2/4	1	1	1/16	1/16	1		5	71	B4	4	17
2	2	11/4	0.25		3/16	3/16	2/4	2	1	1/16	1/16	1		2	38	D2	2	27
2	2	11/4	0.25		3/16	3/16	2/4	1	1	1/16	1/16	1		9	63	D#4	4	18
2	2	11/4	0.25		3/16	3/16	2/4	1	1	1/16	1/16	1		8	68	G#4	4	18
2	2	3	0.25		1/4	1/4	2/4	2	1	1/16	1/16	1		3	45	A2	2	28
2	2	3	0.25		1/4	1/4	2/4	2	1	1/16	1/16	1		6	54	F#3	3	28
2	2	3	0.25		1/4	1/4	2/4	1	1	1/16	1/16	1		4	64	E4	4	19
2	2	3	0.25		1/4	1/4	2/4	1	1	1/16	1/16	1		5	71	B4	4	19
2	2	63/16	0.0125		31/64	31/64	2/4	1	1	1/320	1/256	4/5		4	64	E4	4	20
2	2	79/20	0.0125		39/80	39/80	2/4	1	1	1/320	1/256	4/5		-3	63	Eb4	4	21
2	2	317/80	0.0125		157/320	157/320	2/4	1	1	1/320	1/256	4/5		2	62	D4	4	22
2	2	159/40	0.0125		79/160	79/160	2/4	1	1	1/320	1/256	4/5		-3	63	Eb4	4	23
2	2	319/80	0.0125		159/320	159/320	2/4	1	1	1/320	1/256	4/5		4	64	E4	4	24
3	3	4	0.25		0	0	2/4	2	1	1/16	1/16	1		1	43	G2	2	36
3	3	4	0.25		0	0	2/4	2	1	1/16	1/16	1		2	50	D3	3	36
3	3	4	0.25		0	0	2/4	2	1	1/16	1/16	1		-1	53	F3	3	36
3	3	4	0.25		0	0	2/4	1	1	1/16	1/16	1		5	59	B3	3	29
3	3	4	0.25		0	0	2/4	1	1	1/16	1/16	1		-1	65	F4	4	29
3	3	4	0.25		0	0	2/4	1	1	1/16	1/16	1		3	69	A4	4	29
3	3	17/4	0.25		1/16	1/16	2/4	1	1	1/16	1/16	1		4	64	E4	4	30
3	3	9/2	0.25		1/8	1/8	2/4	1	1	1/16	1/16	1		2	62	D4	4	31
3	3	19/4	0.25		3/16	3/16	2/4	2	1	1/16	1/16	1		1	43	G2	2	37
3	3	19/4	0.25		3/16	3/16	2/4	2	1	1/16	1/16	1		2	50	D3	3	37
3	3	19/4	0.25		3/16	3/16	2/4	2	1	1/16	1/16	1		-1	53	F3	3	37
3	3	19/4	0.25		3/16	3/16	2/4	1	1	1/16	1/16	1		5	59	B3	3	32
3	3	19/4	0.25		3/16	3/16	2/4	1	1	1/16	1/16	1		-1	65	F4	4	32
3	3	19/4	0.25		3/16	3/16	2/4	1	1	1/16	1/16	1		3	69	A4	4	32
3	3	5	0.25		1/4	1/4	2/4	1	1	1/16	1/16	1		4	64	E4	4	33
