mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0		0	0	2/2	2	1	1/4	1/4	1		4	40	E2	2	5
1	1	0	0	1.0		0	0	2/2	2	1	1/4	1/4	1		5	47	B2	2	5
1	1	0	0	1.0		0	0	2/2	2	1	1/4	1/4	1		1	55	G3	3	5
1	1	0	0	2.0		0	0	2/2	1	1	1/2	1/2	1	1	7	73	C#5	5	0
1	1	0	0	2.0		0	0	2/2	1	1	1/2	1/2	1	1	6	78	F#5	5	0
1	1	1	1	1.0		1/4	1/4	2/2	2	1	1/4	1/4	1		8	56	G#3	3	6
1	1	1	1	1.0		1/4	1/4	2/2	2	1	1/4	1/4	1		2	62	D4	4	6
1	1	1	1	1.0		1/4	1/4	2/2	2	1	1/4	1/4	1		4	64	E4	4	6
1	1	2	2	1.0		1/2	1/2	2/2	2	1	1/4	1/4	1		3	45	A2	2	7
1	1	2	2	1.0		1/2	1/2	2/2	2	1	1/4	1/4	1		4	52	E3	3	7
1	1	2	2	1.0		1/2	1/2	2/2	2	1	1/4	1/4	1		1	55	G3	3	7
1	1	2	2	0.75		1/2	1/2	2/2	1	1	3/16	1/8	3/2	-1	7	73	C#5	5	1
1	1	2	2	0.75		1/2	1/2	2/2	1	1	3/16	1/8	3/2	-1	6	78	F#5	5	1
1	1	11/4	11/4	0.25		11/16	11/16	2/2	1	1	1/16	1/16	1		0	72	C5	5	2
1	1	11/4	11/4	0.25		11/16	11/16	2/2	1	1	1/16	1/16	1		4	76	E5	5	2
1	1	3	3	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		3	57	A3	3	8
1	1	3	3	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		7	61	C#4	4	8
1	1	3	3	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		1	67	G4	4	8
1	1	3	3	0.75		3/4	3/4	2/2	1	1	3/16	1/8	3/2		5	71	B4	4	3
1	1	3	3	0.75		3/4	3/4	2/2	1	1	3/16	1/8	3/2		7	73	C#5	5	3
1	1	15/4	15/4	0.25		15/16	15/16	2/2	1	1	1/16	1/16	1		0	72	C5	5	4
1	1	15/4	15/4	0.25		15/16	15/16	2/2	1	1	1/16	1/16	1		4	76	E5	5	4
2	2	4	4	1.0		0	0	2/2	2	1	1/4	1/4	1		4	40	E2	2	15
2	2	4	4	1.0		0	0	2/2	2	1	1/4	1/4	1		5	47	B2	2	15
2	2	4	4	1.0		0	0	2/2	2	1	1/4	1/4	1		1	55	G3	3	15
2	2	4	4	1.5		0	0	2/2	1	1	3/8	1/4	3/2		7	73	C#5	5	9
2	2	4	4	1.5		0	0	2/2	1	1	3/8	1/4	3/2		6	78	F#5	5	9
2	2	5	5	1.0		1/4	1/4	2/2	2	1	1/4	1/4	1		8	56	G#3	3	16
2	2	5	5	1.0		1/4	1/4	2/2	2	1	1/4	1/4	1		2	62	D4	4	16
2	2	5	5	1.0		1/4	1/4	2/2	2	1	1/4	1/4	1		4	64	E4	4	16
2	2	11/2	11/2	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1	1	7	73	C#5	5	10
2	2	11/2	11/2	0.5		3/8	3/8	2/2	1	1	1/8	1/8	1	1	6	78	F#5	5	10
2	2	6	6	1.0		1/2	1/2	2/2	2	1	1/4	1/4	1		3	45	A2	2	17
2	2	6	6	1.0		1/2	1/2	2/2	2	1	1/4	1/4	1		4	52	E3	3	17
2	2	6	6	1.0		1/2	1/2	2/2	2	1	1/4	1/4	1		1	55	G3	3	17
2	2	6	6	0.5		1/2	1/2	2/2	1	1	1/8	1/8	1	-1	7	73	C#5	5	11
2	2	6	6	0.5		1/2	1/2	2/2	1	1	1/8	1/8	1	-1	6	78	F#5	5	11
2	2	13/2	13/2	0.5		5/8	5/8	2/2	1	1	1/8	1/8	1		0	72	C5	5	12
2	2	13/2	13/2	0.5		5/8	5/8	2/2	1	1	1/8	1/8	1		4	76	E5	5	12
2	2	7	7	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		3	57	A3	3	18
2	2	7	7	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		7	61	C#4	4	18
2	2	7	7	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		1	67	G4	4	18
2	2	7	7	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		5	71	B4	4	13
2	2	7	7	0.5		3/4	3/4	2/2	1	1	1/8	1/8	1		7	73	C#5	5	13
2	2	15/2	15/2	0.5		7/8	7/8	2/2	1	1	1/8	1/8	1		0	72	C5	5	14
2	2	15/2	15/2	0.5		7/8	7/8	2/2	1	1	1/8	1/8	1		4	76	E5	5	14
3	3	8	8	1.0		0	0	2/2	2	1	1/4	1/4	1		4	40	E2	2	30
3	3	8	8	1.0		0	0	2/2	2	1	1/4	1/4	1		5	47	B2	2	30
3	3	8	8	1.0		0	0	2/2	2	1	1/4	1/4	1		1	55	G3	3	30
3	3	8	8	0.3333333333333333		0	0	2/2	1	1	1/12	1/8	2/3		7	73	C#5	5	19
3	3	8	8	0.3333333333333333		0	0	2/2	1	1	1/12	1/8	2/3		6	78	F#5	5	19
3	3	25/3	25/3	0.3333333333333333		1/12	1/12	2/2	1	1	1/12	1/8	2/3		7	73	C#5	5	20
3	3	25/3	25/3	0.3333333333333333		1/12	1/12	2/2	1	1	1/12	1/8	2/3		6	78	F#5	5	20
3	3	26/3	26/3	0.3333333333333333		1/6	1/6	2/2	1	1	1/12	1/8	2/3	1	7	73	C#5	5	21
3	3	26/3	26/3	0.3333333333333333		1/6	1/6	2/2	1	1	1/12	1/8	2/3	1	6	78	F#5	5	21
3	3	9	9	1.0		1/4	1/4	2/2	2	1	1/4	1/4	1		8	56	G#3	3	31
3	3	9	9	1.0		1/4	1/4	2/2	2	1	1/4	1/4	1		2	62	D4	4	31
3	3	9	9	1.0		1/4	1/4	2/2	2	1	1/4	1/4	1		4	64	E4	4	31
3	3	9	9	0.5		1/4	1/4	2/2	1	1	1/8	1/8	1	-1	7	73	C#5	5	22
3	3	9	9	0.5		1/4	1/4	2/2	1	1	1/8	1/8	1	-1	6	78	F#5	5	22
3	3	19/2	19/2	1.0		3/8	3/8	2/2	1	1	1/4	1/4	1		0	72	C5	5	23
3	3	19/2	19/2	1.0		3/8	3/8	2/2	1	1	1/4	1/4	1		4	76	E5	5	23
3	3	10	10	1.0		1/2	1/2	2/2	2	1	1/4	1/4	1		3	45	A2	2	32
3	3	10	10	1.0		1/2	1/2	2/2	2	1	1/4	1/4	1		4	52	E3	3	32
3	3	10	10	1.0		1/2	1/2	2/2	2	1	1/4	1/4	1		1	55	G3	3	32
3	3	21/2	21/2	0.5		5/8	5/8	2/2	1	1	1/8	1/8	1	1	5	71	B4	4	24
3	3	21/2	21/2	0.5		5/8	5/8	2/2	1	1	1/8	1/8	1	1	7	73	C#5	5	24
3	3	11	11	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		3	57	A3	3	33
3	3	11	11	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		7	61	C#4	4	33
3	3	11	11	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		1	67	G4	4	33
3	3	11	11	0.3333333333333333		3/4	3/4	2/2	1	2	1/12	1/8	2/3	-1	5	71	B4	4	27
3	3	11	11	0.3333333333333333		3/4	3/4	2/2	1	1	1/12	1/8	2/3	-1	7	73	C#5	5	25
3	3	34/3	34/3	0.3333333333333333		5/6	5/6	2/2	1	2	1/12	1/8	2/3		10	70	A#4	4	28
3	3	34/3	34/3	0.6666666666666666		5/6	5/6	2/2	1	1	1/6	1/4	2/3		4	76	E5	5	26
3	3	35/3	35/3	0.3333333333333333		11/12	11/12	2/2	1	2	1/12	1/8	2/3		3	69	A4	4	29
4	4	12	12	1.0		0	0	2/2	2	1	1/4	1/4	1		6	42	F#2	2	41
4	4	12	12	1.0		0	0	2/2	2	1	1/4	1/4	1		4	52	E3	3	41
4	4	12	12	2.0		0	0	2/2	1	2	1/2	1/2	1	1	8	68	G#4	4	35
4	4	12	12	4.0		0	0	2/2	1	1	1	1	1		7	73	C#5	5	34
4	4	13	13	1.0		1/4	1/4	2/2	2	1	1/4	1/4	1		6	54	F#3	3	42
4	4	13	13	1.0		1/4	1/4	2/2	2	1	1/4	1/4	1		10	58	A#3	3	42
4	4	13	13	1.0		1/4	1/4	2/2	2	1	1/4	1/4	1		4	64	E4	4	42
4	4	14	14	1.0		1/2	1/2	2/2	2	1	1/4	1/4	1		6	42	F#2	2	43
4	4	14	14	1.0		1/2	1/2	2/2	2	1	1/4	1/4	1		4	52	E3	3	43
4	4	14	14	0.5		1/2	1/2	2/2	1	2	1/8	1/8	1	-1	8	68	G#4	4	36
4	4	29/2	29/2	0.5		5/8	5/8	2/2	1	2	1/8	1/8	1	1	11	65	E#4	4	37
4	4	15	15	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		6	54	F#3	3	44
4	4	15	15	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		10	58	A#3	3	44
4	4	15	15	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		4	64	E4	4	44
4	4	15	15	0.3333333333333333		3/4	3/4	2/2	1	2	1/12	1/8	2/3	-1	11	65	E#4	4	38
4	4	46/3	46/3	0.3333333333333333		5/6	5/6	2/2	1	2	1/12	1/8	2/3		6	66	F#4	4	39
4	4	47/3	47/3	0.3333333333333333		11/12	11/12	2/2	1	2	1/12	1/8	2/3		13	67	F##4	4	40
5	5	16	16	1.0		0	0	2/2	2	1	1/4	1/4	1		5	35	B1	1	50
5	5	16	16	1.0		0	0	2/2	2	1	1/4	1/4	1		6	42	F#2	2	50
5	5	16	16	1.0		0	0	2/2	2	1	1/4	1/4	1		2	50	D3	3	50
5	5	16	16	2.0		0	0	2/2	1	1	1/2	1/2	1	1	8	68	G#4	4	45
5	5	16	16	2.0		0	0	2/2	1	1	1/2	1/2	1	1	7	73	C#5	5	45
5	5	17	17	1.0		1/4	1/4	2/2	2	1	1/4	1/4	1		9	51	D#3	3	51
5	5	17	17	1.0		1/4	1/4	2/2	2	1	1/4	1/4	1		3	57	A3	3	51
5	5	17	17	1.0		1/4	1/4	2/2	2	1	1/4	1/4	1		5	59	B3	3	51
5	5	18	18	1.0		1/2	1/2	2/2	2	1	1/4	1/4	1		4	40	E2	2	52
5	5	18	18	1.0		1/2	1/2	2/2	2	1	1/4	1/4	1		5	47	B2	2	52
5	5	18	18	1.0		1/2	1/2	2/2	2	1	1/4	1/4	1		1	55	G3	3	52
5	5	18	18	0.75		1/2	1/2	2/2	1	1	3/16	1/8	3/2	-1	8	68	G#4	4	46
5	5	18	18	0.75		1/2	1/2	2/2	1	1	3/16	1/8	3/2	-1	7	73	C#5	5	46
5	5	75/4	75/4	0.25		11/16	11/16	2/2	1	1	1/16	1/16	1		1	67	G4	4	47
5	5	75/4	75/4	0.25		11/16	11/16	2/2	1	1	1/16	1/16	1		5	71	B4	4	47
5	5	19	19	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		8	56	G#3	3	53
5	5	19	19	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		2	62	D4	4	53
5	5	19	19	1.0		3/4	3/4	2/2	2	1	1/4	1/4	1		4	64	E4	4	53
5	5	19	19	0.75		3/4	3/4	2/2	1	1	3/16	1/8	3/2		6	66	F#4	4	48
5	5	19	19	0.75		3/4	3/4	2/2	1	1	3/16	1/8	3/2		8	68	G#4	4	48
5	5	79/4	79/4	0.25		15/16	15/16	2/2	1	1	1/16	1/16	1		1	67	G4	4	49
5	5	79/4	79/4	0.25		15/16	15/16	2/2	1	1	1/16	1/16	1		5	71	B4	4	49
6	6	20	20	1.0		0	0	2/2	2	1	1/4	1/4	1		1	43	G2	2	63
6	6	20	20	1.0		0	0	2/2	2	1	1/4	1/4	1		2	50	D3	3	63
6	6	20	20	1.0		0	0	2/2	2	1	1/4	1/4	1		-2	58	Bb3	3	63
6	6	20	20	0.25		0	0	2/2	1	1	1/16	1/16	1		8	68	G#4	4	54
6	6	20	20	0.25		0	0	2/2	1	1	1/16	1/16	1		7	73	C#5	5	54
6	6	81/4	81/4	0.25		1/16	1/16	2/2	1	1	1/16	1/16	1		8	68	G#4	4	55
6	6	81/4	81/4	0.25		1/16	1/16	2/2	1	1	1/16	1/16	1		7	73	C#5	5	55
6	6	41/2	41/2	0.5		1/8	1/8	2/2	1	1	1/8	1/8	1	1	8	68	G#4	4	56
6	6	41/2	41/2	0.5		1/8	1/8	2/2	1	1	1/8	1/8	1	1	7	73	C#5	5	56
