mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0		0	0	3/4	1	1	1/4		1/4	1	1	5	83	B5	5	0
1	1	1	1	0.5		1/4	1/4	3/4	1	2	1/8		1/8	1		6	66	F#4	4	5
1	1	1	1	0.5		1/4	1/4	3/4	1	2	1/8		1/8	1		10	70	A#4	4	5
1	1	1	1	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1		9	75	D#5	5	1
1	1	1	1	0.5		1/4	1/4	3/4	1	1	1/8		1/8	1	-1	5	83	B5	5	1
1	1	3/2	3/2	0.5		3/8	3/8	3/4	1	2	1/8		1/8	1		-1	65	F4	4	6
1	1	3/2	3/2	0.5		3/8	3/8	3/4	1	2	1/8		1/8	1		3	69	A4	4	6
1	1	3/2	3/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	2
1	1	3/2	3/2	0.5		3/8	3/8	3/4	1	1	1/8		1/8	1		1	79	G5	5	2
1	1	2	2	0.5		1/2	1/2	3/4	1	2	1/8		1/8	1		4	64	E4	4	7
1	1	2	2	0.5		1/2	1/2	3/4	1	2	1/8		1/8	1		8	68	G#4	4	7
1	1	2	2	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		7	73	C#5	5	3
1	1	2	2	0.5		1/2	1/2	3/4	1	1	1/8		1/8	1		3	81	A5	5	3
1	1	5/2	5/2	0.5		5/8	5/8	3/4	1	2	1/8		1/8	1		-3	63	Eb4	4	8
1	1	5/2	5/2	0.5		5/8	5/8	3/4	1	2	1/8		1/8	1		1	67	G4	4	8
1	1	5/2	5/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	4
1	1	5/2	5/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		-1	77	F5	5	4
2	2	3	3	1.5		0	0	3/4	2	1	3/8		1/4	3/2		2	62	D4	4	17
2	2	3	3	1.5		0	0	3/4	2	1	3/8		1/4	3/2		6	66	F#4	4	17
2	2	3	3	1.5		0	0	3/4	1	2	3/8		1/4	3/2		5	71	B4	4	13
2	2	3	3	0.5		0	0	3/4	1	1	1/8		1/8	1		1	79	G5	5	9
2	2	7/2	7/2	0.5		1/8	1/8	3/4	1	1	1/8		1/8	1		4	76	E5	5	10
2	2	4	4	1.5		1/4	1/4	3/4	1	1	3/8		1/4	3/2		-1	77	F5	5	11
2	2	9/2	9/2	0.5		3/8	3/8	3/4	2	1	1/8		1/8	1		5	59	B3	3	18
2	2	9/2	9/2	0.5		3/8	3/8	3/4	2	1	1/8		1/8	1		9	63	D#4	4	18
2	2	9/2	9/2	0.5		3/8	3/8	3/4	1	2	1/8		1/8	1		8	68	G#4	4	14
2	2	5	5	0.5		1/2	1/2	3/4	2	1	1/8		1/8	1		0	60	C4	4	19
2	2	5	5	0.5		1/2	1/2	3/4	2	1	1/8		1/8	1		4	64	E4	4	19
2	2	5	5	0.5		1/2	1/2	3/4	1	2	1/8		1/8	1		3	69	A4	4	15
2	2	11/2	11/2	0.5		5/8	5/8	3/4	2	1	1/8		1/8	1		3	57	A3	3	20
2	2	11/2	11/2	0.5		5/8	5/8	3/4	2	1	1/8		1/8	1		7	61	C#4	4	20
2	2	11/2	11/2	0.5		5/8	5/8	3/4	1	2	1/8		1/8	1		6	66	F#4	4	16
2	2	11/2	11/2	0.5		5/8	5/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	12
3	3	6	6	0.5		0	0	3/4	2	1	1/8		1/8	1		-4	56	Ab3	3	29
3	3	6	6	0.5		0	0	3/4	2	1	1/8		1/8	1		0	60	C4	4	29
