mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	8.0	0	0	2/2	2	1	E.I(13#11){	E	I		I(13#11)		I			13#11			{	M	0	0	0, 4, 1	3, 6	0	0
3	3	8	8	1.0	0	0	2/2	2	1	i65	E	I		i65		i		65					mm7	0	0	-3, 1, -2, 0		0	-3
3	3	9	9	1.0	1/4	1/4	2/2	2	1	V+(9)/bV	E	I		V+(9)/bV		V	+		9	bV			+	0	0	-5, -1, 3	-3	-5	-5
3	3	10	10	4.0	1/2	1/2	2/2	2	1	IM7(+13)/bV	E	I		IM7(+13)/bV		I	M	7	+13	bV			MM7	0	0	-6, -2, -5, -1	-3	-6	-6
4	4	14	14	2.0	1/2	1/2	2/2	2	1	i7(+13)/bV	E	I		i7(+13)/bV		i		7	+13	bV			mm7	0	0	-6, -9, -5, -8	-3	-6	-6
5	5	16	16	3.0	0	0	2/2	2	1	V7(b9b10)	E	I		V7(b9b10)		V		7	b9b10				Mm7	0	0	1, 5, 2, -1	-4, -2	1	1
5	5	19	19	1.0	3/4	3/4	2/2	2	1	V7(9#11)	E	I		V7(9#11)		V		7	9#11				Mm7	0	0	1, 5, 2, -1	3, 7	1	1
6	6	20	20	1.0	0	0	2/2	2	1	V7(+b13)	E	I		V7(+b13)		V		7	+b13				Mm7	0	0	1, 5, 2, -1	-3	1	1
6	6	21	21	1.0	1/4	1/4	2/2	2	1	V7/V/bVII	E	I		V7/V/bVII		V		7		V/bVII			Mm7	0	0	0, 4, 1, -2		0	0
6	6	22	22	1.0	1/2	1/2	2/2	2	1	V64/bVII	E	I		V64/bVII		V		64		bVII			M	0	0	0, -1, 3		-1	0
6	6	23	23	1.0	3/4	3/4	2/2	2	1	Fr43/V	E	I		Fr43/V	Fr	V		43	b5	V/V			Fr	0	0	-3, 1, 3, 7		3	-3
7	7	24	24	1.0	0	0	2/2	2	1	bVM7(^#4)/V	E	I		bVM7(^#4)/V		bV	M	7	^#4	V			MM7	0	0	-5, -1, 8, 0		-5	-5
7	7	25	25	1.0	1/4	1/4	2/2	2	1	bIII+43(9)	E	I		bIII+43(9)		bIII	+	43	9				+7	0	0	5, -5, -3, 1	-1	-3	5
7	7	26	26	1.0	1/2	1/2	2/2	2	1	i65	E	I		i65		i		65					mm7	0	0	-3, 1, -2, 0		0	-3
7	7	27	27	1.0	3/4	3/4	2/2	2	1	Fr2/V	E	I		Fr2/V	Fr	V		2	b5	V/V			Fr	0	0	1, 3, 7, -3		3	1
8	8	28	28	2.0	0	0	2/2	2	1	V2/bI	E	I		V2/bI		V		2		bI			Mm7	0	0	-8, -6, -2, -5		-6	-8
8	8	30	30	2.0	1/2	1/2	2/2	2	1	V(976)/bIII|HC}	E	I		V(976)/bIII		V			976	bIII	HC	}	M	0	0	-2, 2, 1	0, -4	-2	-2
9	9	32	32	2.0	0	0	2/2	2	1	bII(7)/bIII{	E	I		bII(7)/bIII		bII			7	bIII		{	M	0	0	-8, -4, -7	-3	-8	-8
9	9	34	34	2.0	1/2	1/2	2/2	2	1	viio65/bIII	E	I		viio65/bIII		vii	o	65		bIII			o7	0	0	-1, -4, -7, 2		2	-1
10	10	36	36	2.0	0	0	2/2	2	1	bII(7)/bIII	E	I		bII(7)/bIII		bII			7	bIII			M	0	0	-8, -4, -7	-3	-8	-8
