mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1/4	1/4	2/2	2	1		e.V(4)	e	i		V(4)		V			4				M	1	1	1, 0, 2		1	1
2	2	0	0	2/2	2	1		i7(b11b12#13){	e	i		i7(b11b12#13)		i		7	b11b12#13			{	mm7	1	1	0, -3, 1, -2	-8, -6, 3	0	0
3	3	0	0	2/2	2	1		#VIM7(1311)	e	i		#VIM7(1311)		#VI	M	7	1311				MM7	1	1	3, 7, 4, 8	-1, 2	3	3
4	4	0	0	2/2	2	1		e.i7(b11b12#13)	e	i		i7(b11b12#13)		i		7	b11b12#13				mm7	1	1	0, -3, 1, -2	-8, -6, 3	0	0
5	5	0	0	2/2	2	1		#VIM7(13119)	e	i		#VIM7(13119)		#VI	M	7	13119				MM7	1	1	3, 7, 4, 8	-1, 2, -2	3	3
6	6	0	0	2/2	2	1		V7(#11#9)/#VI	e	i		V7(#11#9)/#VI		V		7	#11#9	#VI			Mm7	1	1	4, 8, 5, 2	10, 13	4	4
6	6	1/2	1/2	2/2	2	1		V7(9)/bV	e	i		V7(9)/bV		V		7	9	bV			Mm7	1	1	-5, -1, -4, -7	-3	-5	-5
7	7	0	0	2/2	2	1		V7(9)/iv	e	i		V7(9)/iv		V		7	9	iv			Mm7	1	1	0, 4, 1, -2	-5	0	0
7	7	1/2	1/2	2/2	2	1		V7(b12b9)/ii	e	i		V7(b12b9)/ii		V		7	b12b9	ii			Mm7	1	1	3, 7, 4, 1	-3, -9	3	3
8	8	0	0	2/2	2	1		V7(b10)/iv	e	i		V7(b10)/iv		V		7	b10	iv			Mm7	1	1	0, 4, 1, -2	-3	0	0
8	8	1/4	1/4	2/2	2	1		ii%7/iv	e	i		ii%7/iv		ii	%	7		iv			%7	1	1	1, -2, -5, -1		1	1
8	8	1/2	1/2	2/2	2	1		ii%65/bII	e	i		ii%65/bII		ii	%	65		bII			%7	1	1	-6, -9, -5, -3		-3	-6
8	8	3/4	3/4	2/2	2	1		V7(b10)/V/III	e	i		V7(b10)/V/III		V		7	b10	V/III			Mm7	1	1	-1, 3, 0, -3	-4	-1	-1
9	9	0	0	2/2	2	1		V65/III	e	i		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
9	9	1/8	1/8	2/2	2	1		ii%7(11)/iv	e	i		ii%7(11)/iv		ii	%	7	11	iv			%7	1	1	1, -2, -5, -1	0	1	1
9	9	3/8	3/8	2/2	2	1		ii%7/VII	e	i		ii%7/VII		ii	%	7		VII			%7	1	1	0, -3, -6, -2		0	0
9	9	1/2	1/2	2/2	2	1		V7(b10b9)/V|HC}	e	i		V7(b10b9)/V		V		7	b10b9	V	HC	}	Mm7	1	1	2, 6, 3, 0	-1, -3	2	2
10	10	0	0	2/2	2	1		i7(b11#13){	e	i		i7(b11#13)		i		7	b11#13			{	mm7	1	1	0, -3, 1, -2	-8, 3	0	0
11	11	0	0	2/2	2	1		i7(b11b12#13)	e	i		i7(b11b12#13)		i		7	b11b12#13				mm7	1	1	0, -3, 1, -2	-8, -6, 3	0	0
12	12	0	0	2/2	2	1		#VIM7(13119)	e	i		#VIM7(13119)		#VI	M	7	13119				MM7	1	1	3, 7, 4, 8	-1, 2, -2	3	3
13	13	0	0	2/2	2	1		i7(b11b12#13)	e	i		i7(b11b12#13)		i		7	b11b12#13				mm7	1	1	0, -3, 1, -2	-8, -6, 3	0	0
14	14	0	0	2/2	2	1		#VI+7(13119)	e	i		#VI+7(13119)		#VI	+	7	13119				+7	1	1	3, 7, 11, 1	-1, 2, -2	3	3
15	15	0	0	2/2	2	1		VIM7(9)	e	i		VIM7(9)		VI	M	7	9				MM7	1	1	-4, 0, -3, 1	-2	-4	-4
15	15	1/4	1/4	2/2	2	1		VM7(9)	e	i		VM7(9)		V	M	7	9				MM7	1	1	1, 5, 2, 6	-4	1	1
15	15	1/2	1/2	2/2	2	1		v(b9b12)	e	i		v(b9b12)		v			b9b12				m	1	1	1, -2, 2	-11, -5	1	1
15	15	3/4	3/4	2/2	2	1		i43	e	i		i43		i		43					mm7	1	1	1, -2, 0, -3		0	1
16	16	0	0	2/2	2	1		V7(b10)/IV	e	i		V7(b10)/IV		V		7	b10	IV			Mm7	1	1	0, 4, 1, -2	-3	0	0
16	16	1/2	1/2	2/2	2	1		V7(#9)/ii	e	i		V7(#9)/ii		V		7	#9	ii			Mm7	1	1	3, 7, 4, 1	5	3	3
17	17	0	0	2/2	2	1		V7(b10)/iv	e	i		V7(b10)/iv		V		7	b10	iv			Mm7	1	1	0, 4, 1, -2	-3	0	0
17	17	1/4	1/4	2/2	2	1		ii%7/iv	e	i		ii%7/iv		ii	%	7		iv			%7	1	1	1, -2, -5, -1		1	1
17	17	1/2	1/2	2/2	2	1		ii%65/bII	e	i		ii%65/bII		ii	%	65		bII			%7	1	1	-6, -9, -5, -3		-3	-6
17	17	3/4	3/4	2/2	2	1		V7(6)/#VI	e	i		V7(6)/#VI		V		7	6	#VI			Mm7	1	1	4, 8, 7, 2		4	4
18	18	0	0	2/2	2	1		V65/III	e	i		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
18	18	1/8	1/8	2/2	2	1		ii%7(11)/iv	e	i		ii%7(11)/iv		ii	%	7	11	iv			%7	1	1	1, -2, -5, -1	0	1	1
18	18	3/8	3/8	2/2	2	1		ii%7/VII	e	i		ii%7/VII		ii	%	7		VII			%7	1	1	0, -3, -6, -2		0	0
18	18	1/2	1/2	2/2	2	1		V7(b10b9)/V|HC}	e	i		V7(b10b9)/V		V		7	b10b9	V	HC	}	Mm7	1	1	2, 6, 3, 0	-1, -3	2	2
19	19	0	0	2/2	2	1		I(b106){	e	i		I(b106)		I			b106			{	M	1	1	0, 4, -4	-3	0	0
19	19	1/2	1/2	2/2	2	1		V43/#VI	e	i		V43/#VI		V		43		#VI			Mm7	1	1	5, 2, 4, 8		4	5
20	20	0	0	2/2	2	1		V7(139)/ii	e	i		V7(139)/ii		V		7	139	ii			Mm7	1	1	3, 7, 4, 1	-1, -2	3	3
20	20	1/2	1/2	2/2	2	1		V7(b13)/bII	e	i		V7(b13)/bII		V		7	b13	bII			Mm7	1	1	-4, 0, -3, -6	-8	-4	-4
21	21	0	0	2/2	2	1		V7	e	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
21	21	1/2	1/2	2/2	2	1		V7/bI	e	i		V7/bI		V		7		bI			Mm7	1	1	-6, -2, -5, -8		-6	-6
22	22	0	0	2/2	2	1		I(13)/bI	e	i		I(13)/bI		I			13	bI			M	1	1	-7, -3, -6	-4	-7	-7
22	22	1/2	1/2	2/2	2	1		V7(13)	e	i		V7(13)		V		7	13				Mm7	1	1	1, 5, 2, -1	-3	1	1
23	23	0	0	2/2	2	1		I(139)/bV	e	i		I(139)/bV		I			139	bV			M	1	1	-6, -2, -5	-3, -4	-6	-6
23	23	1/2	1/2	2/2	2	1		V7/V/III	e	i		V7/V/III		V		7		V/III			Mm7	1	1	-1, 3, 0, -3		-1	-1
24	24	0	0	2/2	2	1		V/bV/III	e	i		V/bV/III		V				bV/III			M	1	1	-8, -4, -7		-8	-8
24	24	1/4	1/4	2/2	2	1		V7(139)/VI	e	i		V7(139)/VI		V		7	139	VI			Mm7	1	1	-3, 1, -2, -5	0, -1	-3	-3
25	25	0	0	2/2	2	1		V7(9)/V	e	i		V7(9)/V		V		7	9	V			Mm7	1	1	2, 6, 3, 0	4	2	2
25	25	1/2	1/2	2/2	2	1		V7(9)/bV	e	i		V7(9)/bV		V		7	9	bV			Mm7	1	1	-5, -1, -4, -7	-3	-5	-5
26	26	0	0	2/2	2	1		V7/VI	e	i		V7/VI		V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3
26	26	3/8	3/8	2/2	2	1		V7/#VI	e	i		V7/#VI		V		7		#VI			Mm7	1	1	4, 8, 5, 2		4	4
26	26	5/8	5/8	2/2	2	1		V7/bV|HC}	e	i		V7/bV		V		7		bV	HC	}	Mm7	1	1	-5, -1, -4, -7		-5	-5
27	27	0	0	2/2	2	1		I(b106){	e	i		I(b106)		I			b106			{	M	1	1	0, 4, -4	-3	0	0
27	27	1/2	1/2	2/2	2	1		V43/#VI	e	i		V43/#VI		V		43		#VI			Mm7	1	1	5, 2, 4, 8		4	5
28	28	0	0	2/2	2	1		V7(139)/ii	e	i		V7(139)/ii		V		7	139	ii			Mm7	1	1	3, 7, 4, 1	-1, -2	3	3
