mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	0	2/2	2	1	E.IM7(13#11){	E	I		IM7(13#11)	I	M	7	13#11			{	MM7	0	0	0, 4, 1, 5	3, 6	0	0
2	2	4	4.0	0	0	2/2	2	1	V7(+9)	E	I		V7(+9)	V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
3	3	8	4.0	0	0	2/2	2	1	IM7(13#11)	E	I		IM7(13#11)	I	M	7	13#11				MM7	0	0	0, 4, 1, 5	3, 6	0	0
4	4	12	4.0	0	0	2/2	2	1	V7(+9)	E	I		V7(+9)	V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
5	5	16	4.0	0	0	2/2	2	1	IM7(13#11)	E	I		IM7(13#11)	I	M	7	13#11				MM7	0	0	0, 4, 1, 5	3, 6	0	0
6	6	20	3.0	0	0	2/2	2	1	V7	E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	23	3.0	3/4	3/4	2/2	2	1	V43(13)	E	I		V43(13)	V		43	13				Mm7	0	0	2, -1, 1, 5	4	1	2
7	7	26	2.5	1/2	1/2	2/2	2	1	V7(13)/bI	E	I		V7(13)/bI	V		7	13	bI			Mm7	0	0	-6, -2, -5, -8	-3	-6	-6
8	8	57/2	1.5	1/8	1/8	2/2	2	1	V7(9)/bIV	E	I		V7(9)/bIV	V		7	9	bIV			Mm7	0	0	-7, -3, -6, -9	-5	-7	-7
8	8	30	2.0	1/2	1/2	2/2	2	1	V7(b9)/bIII|HC}	E	I		V7(b9)/bIII	V		7	b9	bIII	HC	}	Mm7	0	0	-2, 2, -1, -4	-7	-2	-2
9	9	32	4.0	0	0	2/2	2	1	IM7(13#11){	E	I		IM7(13#11)	I	M	7	13#11			{	MM7	0	0	0, 4, 1, 5	3, 6	0	0
10	10	36	4.0	0	0	2/2	2	1	V7(+9)	E	I		V7(+9)	V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
11	11	40	4.0	0	0	2/2	2	1	IM7(13#11)	E	I		IM7(13#11)	I	M	7	13#11				MM7	0	0	0, 4, 1, 5	3, 6	0	0
12	12	44	4.0	0	0	2/2	2	1	V7(+9)	E	I		V7(+9)	V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
13	13	48	4.0	0	0	2/2	2	1	IM7(13#11)	E	I		IM7(13#11)	I	M	7	13#11				MM7	0	0	0, 4, 1, 5	3, 6	0	0
14	14	52	4.0	0	0	2/2	2	1	V7(b9)/bII	E	I		V7(b9)/bII	V		7	b9	bII			Mm7	0	0	-4, 0, -3, -6	-9	-4	-4
15	15	56	2.0	0	0	2/2	2	1	V7(13#9)/bI	E	I		V7(13#9)/bI	V		7	13#9	bI			Mm7	0	0	-6, -2, -5, -8	-3, 3	-6	-6
15	15	58	2.0	1/2	1/2	2/2	2	1	V7(13)/bVII	E	I		V7(13)/bVII	V		7	13	bVII			Mm7	0	0	-1, 3, 0, -3	2	-1	-1
16	16	60	1.5	0	0	2/2	2	1	V7(139)/bIII	E	I		V7(139)/bIII	V		7	139	bIII			Mm7	0	0	-2, 2, -1, -4	1, 0	-2	-2
16	16	123/2	2.5	3/8	3/8	2/2	2	1	V7(139)/bVI|HC}	E	I		V7(139)/bVI	V		7	139	bVI	HC	}	Mm7	0	0	-3, 1, -2, -5	0, -1	-3	-3
17	17	64	8.0	0	0	2/2	2	1	V7(9)/bII{	E	I		V7(9)/bII	V		7	9	bII		{	Mm7	0	0	-4, 0, -3, -6	-2	-4	-4
19	19	72	8.0	0	0	2/2	2	1	V7(9)/bV	E	I		V7(9)/bV	V		7	9	bV			Mm7	0	0	-5, -1, -4, -7	-3	-5	-5
21	21	80	8.0	0	0	2/2	2	1	V7(9)/bIII	E	I		V7(9)/bIII	V		7	9	bIII			Mm7	0	0	-2, 2, -1, -4	0	-2	-2
23	23	88	8.0	0	0	2/2	2	1	V7(b9)/vi	E	I		V7(b9)/vi	V		7	b9	vi			Mm7	0	0	4, 8, 5, 2	-8	4	4
25	25	96	4.0	0	0	2/2	2	1	V7(134)/bI	E	I		V7(134)/bI	V		7	134	bI			Mm7	0	0	-6, -7, -5, -8	-3	-6	-6
26	26	100	4.0	0	0	2/2	2	1	V7(13b10)/bI	E	I		V7(13b10)/bI	V		7	13b10	bI			Mm7	0	0	-6, -2, -5, -8	-3, -9	-6	-6
27	27	104	4.0	0	0	2/2	2	1	V7(134)/bI	E	I		V7(134)/bI	V		7	134	bI			Mm7	0	0	-6, -7, -5, -8	-3	-6	-6
28	28	108	4.0	0	0	2/2	2	1	V65(9)/V	E	I		V65(9)/V	V		65	9	V			Mm7	0	0	6, 3, 0, 2	4	2	6
29	29	112	16.0	0	0	2/2	2	1	V7(134)/bI|HC}	E	I		V7(134)/bI	V		7	134	bI	HC	}	Mm7	0	0	-6, -7, -5, -8	-3	-6	-6
33	33	128	4.0	0	0	2/2	2	1	IM7(13#11){	E	I		IM7(13#11)	I	M	7	13#11			{	MM7	0	0	0, 4, 1, 5	3, 6	0	0
34	34	132	4.0	0	0	2/2	2	1	V7(+9)	E	I		V7(+9)	V		7	+9				Mm7	0	0	1, 5, 2, -1	3	1	1
