mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	2/4	2	1		D.IM7(9){	D	I		IM7(9)		I	M	7	9			{	MM7	0	0	0, 4, 1, 5	2	0	0
2	2	2	2	2.0	0	0	2/4	2	1		V7(139)/IV	D	I		V7(139)/IV		V		7	139	IV			Mm7	0	0	0, 4, 1, -2	3, 2	0	0
3	3	4	4	1.5	0	0	2/4	2	1		IV7(9)	D	I		IV7(9)		IV		7	9				Mm7	0	0	-1, 3, 0, -3	1	-1	-1
3	3	11/2	11/2	0.5	3/8	3/8	2/4	2	1		V7(6)	D	I		V7(6)		V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
4	4	6	6	2.0	0	0	2/4	2	1		bV7(+9^#5^2)|HC}	D	I		bV7(+9^#5^2)		bV		7	+9^#5^2		HC	}	Mm7	0	0	-6, 3, 2, -8	3	-6	-6
5	5	8	8	2.0	0	0	2/4	2	1		IM7(9){	D	I		IM7(9)		I	M	7	9			{	MM7	0	0	0, 4, 1, 5	2	0	0
6	6	10	10	1.0	0	0	2/4	2	1		V7(11)/bII	D	I		V7(11)/bII		V		7	11	bII			Mm7	0	0	-4, 0, -3, -6	-5	-4	-4
6	6	11	11	1.0	1/4	1/4	2/4	2	1		V(139)/bII	D	I		V(139)/bII		V			139	bII			M	0	0	-4, 0, -3	-1, -2	-4	-4
7	7	12	12	1.25	0	0	2/4	2	1		V2(9)/IV	D	I		V2(9)/IV		V		2	9	IV			Mm7	0	0	-2, 0, 4, 1	2	0	-2
7	7	53/4	53/4	0.25	5/16	5/16	2/4	2	1		Fr7	D	I		Fr7	Fr	V		7	b5	V			Fr	0	0	2, 6, -4, 0		2	2
7	7	27/2	27/2	0.5	3/8	3/8	2/4	2	1		Fr7/IV	D	I		Fr7/IV	Fr	V		7	b5	V/IV			Fr	0	0	1, 5, -5, -1		1	1
8	8	14	14	0.5	0	0	2/4	2	1		V7/bII	D	I		V7/bII		V		7		bII			Mm7	0	0	-4, 0, -3, -6		-4	-4
