mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1	0.5	1/4	1/4	3/4	2	1		A.II+43{		A	I		II+43		II	+	43				{	+7	0	0	10, 0, 2, 6		2	10
1	1	3/2	3/2	0.5	3/8	3/8	3/4	2	1		V2(9)/bIII		A	I		V2(9)/bIII		V		2	9	bIII			Mm7	0	0	-4, -2, 2, -1	0	-2	-4
1	1	2	2	0.5	1/2	1/2	3/4	2	1		IM43		A	I		IM43		I	M	43					MM7	0	0	1, 5, 0, 4		0	1
1	1	5/2	5/2	0.5	5/8	5/8	3/4	2	1		V2(9)/bII		A	I		V2(9)/bII		V		2	9	bII			Mm7	0	0	-6, -4, 0, -3	-2	-4	-6
2	2	3	3	1.5	0	0	3/4	2	1		ii6(b13)		A	I		ii6(b13)		ii		6	b13				m	0	0	-1, 3, 2	-2	2	-1
2	2	9/2	9/2	0.5	3/8	3/8	3/4	2	1		Fr7(#6)		A	I		Fr7(#6)	Fr	V		7	#6b5	V			Fr	0	0	2, 6, -4, 12		2	2
2	2	5	5	0.5	1/2	1/2	3/4	2	1		bVIM43		A	I		bVIM43		bVI	M	43					MM7	0	0	-3, 1, -4, 0		-4	-3
2	2	11/2	11/2	0.5	5/8	5/8	3/4	2	1		IVM43		A	I		IVM43		IV	M	43					MM7	0	0	0, 4, -1, 3		-1	0
3	3	6	6	1.0	0	0	3/4	2	1		iio2(b9)		A	I		iio2(b9)		ii	o	2	b9				o7	0	0	-7, 2, -1, -4	-3	2	-7
3	3	7	7	1.5	1/4	1/4	3/4	2	1		IIM43		A	I		IIM43		II	M	43					MM7	0	0	3, 7, 2, 6		2	3
3	3	17/2	17/2	0.5	5/8	5/8	3/4	2	1		v6(#4)		A	I		v6(#4)		v		6	#4				m	0	0	-2, 7, 1		1	-2
4	4	9	9	0.5	0	0	3/4	2	1		iii65		A	I		iii65		iii		65					mm7	0	0	1, 5, 2, 4		4	1
4	4	19/2	19/2	0.5	1/8	1/8	3/4	2	1		iv65		A	I		iv65		iv		65					mm7	0	0	-4, 0, -3, -1		-1	-4
4	4	10	10	0.5	1/4	1/4	3/4	2	1		viio6(#12)/V		A	I		viio6(#12)/V		vii	o	6	#12	V			o	0	0	3, 0, 6	7	6	3
4	4	21/2	21/2	0.5	3/8	3/8	3/4	2	1		v6(#4)		A	I		v6(#4)		v		6	#4				m	0	0	-2, 7, 1		1	-2
