mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	2/2	2	1		D.V7(13+9)/V{	D	I		V7(13+9)/V	V		7	13+9	V		{	Mm7	0	0	2, 6, 3, 0	5, 4	2	2
1	1	2	2.0	1/2	1/2	2/2	2	1		V7(9)	D	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
2	2	4	2.0	0	0	2/2	2	1		V7(13+9)/V	D	I		V7(13+9)/V	V		7	13+9	V			Mm7	0	0	2, 6, 3, 0	5, 4	2	2
2	2	6	2.0	1/2	1/2	2/2	2	1		V7(9)	D	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
3	3	8	2.0	0	0	2/2	2	1		V7(13+9)/V	D	I		V7(13+9)/V	V		7	13+9	V			Mm7	0	0	2, 6, 3, 0	5, 4	2	2
3	3	10	2.0	1/2	1/2	2/2	2	1		V7(9)	D	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
4	4	12	4.0	0	0	2/2	2	1		V7(9)/vi	D	I		V7(9)/vi	V		7	9	vi			Mm7	0	0	4, 8, 5, 2	-1	4	4
5	5	16	2.0	0	0	2/2	2	1		V7(#13+9)/ii	D	I		V7(#13+9)/ii	V		7	#13+9	ii			Mm7	0	0	3, 7, 4, 1	6, -2	3	3
5	5	18	2.0	1/2	1/2	2/2	2	1		V7(+9)/V	D	I		V7(+9)/V	V		7	+9	V			Mm7	0	0	2, 6, 3, 0	4	2	2
6	6	20	2.0	0	0	2/2	2	1		V7(#11b9)/bVII	D	I		V7(#11b9)/bVII	V		7	#11b9	bVII			Mm7	0	0	-1, 3, 0, -3	5, -6	-1	-1
6	6	22	2.0	1/2	1/2	2/2	2	1		V7(b10b9)/bVI	D	I		V7(b10b9)/bVI	V		7	b10b9	bVI			Mm7	0	0	-3, 1, -2, -5	-6, -8	-3	-3
7	7	24	2.0	0	0	2/2	2	1		V7(139)/V	D	I		V7(139)/V	V		7	139	V			Mm7	0	0	2, 6, 3, 0	5, 4	2	2
7	7	26	2.0	1/2	1/2	2/2	2	1		V7(13+9)/IV	D	I		V7(13+9)/IV	V		7	13+9	IV			Mm7	0	0	0, 4, 1, -2	3, 2	0	0
8	8	28	2.0	0	0	2/2	2	1		V7(9)/iii|HC}	D	I		V7(9)/iii	V		7	9	iii	HC	}	Mm7	0	0	5, 9, 6, 3	0	5	5
8	8	30	1.0	1/2	1/2	2/2	2	1		V7(9)/bII	D	I		V7(9)/bII	V		7	9	bII			Mm7	0	0	-4, 0, -3, -6	-2	-4	-4
8	8	31	1.0	3/4	3/4	2/2	2	1		V7(9)/II	D	I		V7(9)/II	V		7	9	II			Mm7	0	0	3, 7, 4, 1	5	3	3
9	9	32	2.0	0	0	2/2	2	1		V7(139)/V{	D	I		V7(139)/V	V		7	139	V		{	Mm7	0	0	2, 6, 3, 0	5, 4	2	2
9	9	34	2.0	1/2	1/2	2/2	2	1		V7(#11)/bVII	D	I		V7(#11)/bVII	V		7	#11	bVII			Mm7	0	0	-1, 3, 0, -3	5	-1	-1
10	10	36	2.0	0	0	2/2	2	1		V7(#11)/vi	D	I		V7(#11)/vi	V		7	#11	vi			Mm7	0	0	4, 8, 5, 2	10	4	4
10	10	38	2.0	1/2	1/2	2/2	2	1		V7(b9)/bVI	D	I		V7(b9)/bVI	V		7	b9	bVI			Mm7	0	0	-3, 1, -2, -5	-8	-3	-3
11	11	40	2.0	0	0	2/2	2	1		V7(13+9)/V	D	I		V7(13+9)/V	V		7	13+9	V			Mm7	0	0	2, 6, 3, 0	5, 4	2	2
11	11	42	2.0	1/2	1/2	2/2	2	1		V7(b9)	D	I		V7(b9)	V		7	b9				Mm7	0	0	1, 5, 2, -1	-4	1	1
12	12	44	2.0	0	0	2/2	2	1		V7(9)/vi	D	I		V7(9)/vi	V		7	9	vi			Mm7	0	0	4, 8, 5, 2	-1	4	4
