mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	3.0	1/4	1/4	2/2	2	1		e.V(4)	e	i		V(4)		V			4				M	1	1	1, 0, 2		1	1
2	2	4	4.0	0	0	2/2	2	1		i7(b11b12#13){	e	i		i7(b11b12#13)		i		7	b11b12#13			{	mm7	1	1	0, -3, 1, -2	-8, -6, 3	0	0
3	3	8	4.0	0	0	2/2	2	1		#VIM7(1311)	e	i		#VIM7(1311)		#VI	M	7	1311				MM7	1	1	3, 7, 4, 8	-1, 2	3	3
4	4	12	4.0	0	0	2/2	2	1		e.i7(b11b12#13)	e	i		i7(b11b12#13)		i		7	b11b12#13				mm7	1	1	0, -3, 1, -2	-8, -6, 3	0	0
5	5	16	4.0	0	0	2/2	2	1		#VIM7(13119)	e	i		#VIM7(13119)		#VI	M	7	13119				MM7	1	1	3, 7, 4, 8	-1, 2, -2	3	3
6	6	20	2.0	0	0	2/2	2	1		V7(#11#9)/#VI	e	i		V7(#11#9)/#VI		V		7	#11#9	#VI			Mm7	1	1	4, 8, 5, 2	10, 13	4	4
6	6	22	2.0	1/2	1/2	2/2	2	1		V7(9)/bV	e	i		V7(9)/bV		V		7	9	bV			Mm7	1	1	-5, -1, -4, -7	-3	-5	-5
7	7	24	2.0	0	0	2/2	2	1		V7(9)/iv	e	i		V7(9)/iv		V		7	9	iv			Mm7	1	1	0, 4, 1, -2	-5	0	0
7	7	26	2.0	1/2	1/2	2/2	2	1		V7(b12b9)/ii	e	i		V7(b12b9)/ii		V		7	b12b9	ii			Mm7	1	1	3, 7, 4, 1	-3, -9	3	3
8	8	28	1.0	0	0	2/2	2	1		V7(b10)/iv	e	i		V7(b10)/iv		V		7	b10	iv			Mm7	1	1	0, 4, 1, -2	-3	0	0
8	8	29	1.0	1/4	1/4	2/2	2	1		ii%7/iv	e	i		ii%7/iv		ii	%	7		iv			%7	1	1	1, -2, -5, -1		1	1
8	8	30	1.0	1/2	1/2	2/2	2	1		ii%65/bII	e	i		ii%65/bII		ii	%	65		bII			%7	1	1	-6, -9, -5, -3		-3	-6
8	8	31	1.0	3/4	3/4	2/2	2	1		V7(b10)/V/III	e	i		V7(b10)/V/III		V		7	b10	V/III			Mm7	1	1	-1, 3, 0, -3	-4	-1	-1
9	9	32	0.5	0	0	2/2	2	1		V65/III	e	i		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
9	9	65/2	1.0	1/8	1/8	2/2	2	1		ii%7(11)/iv	e	i		ii%7(11)/iv		ii	%	7	11	iv			%7	1	1	1, -2, -5, -1	0	1	1
9	9	67/2	0.5	3/8	3/8	2/2	2	1		ii%7/VII	e	i		ii%7/VII		ii	%	7		VII			%7	1	1	0, -3, -6, -2		0	0
