mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	1/4	1/4	2/2	2	1	e.V(4)	0.1	3.5	/		e	i		V(4)		V			4				M	1	1	5, 4, 6		5	5	2	3	0.4	0.5	0.75	0.4
2	2	0	0	2/2	2	1	i7(b11b12#13){					e	i		i7(b11b12#13)		i		7	b11b12#13			{	mm7	1	1	4, 1, 5, 2	-4, -2, 7	4	4	4	15	0.21052631578947367	0.625	3.875	0.1388888888888889
3	3	0	0	2/2	2	1	vi7(+b64b2)					e	i		vi7(+b64b2)		vi		7	+b64b2				mm7	1	1	-5, 6, 1, -2	-4	0	-5	11	10	0.5238095238095238	1.6875	2.8125	0.375
4	4	0	0	2/2	2	1	e.i7(b11b12#13)					e	i		i7(b11b12#13)		i		7	b11b12#13				mm7	1	1	4, 1, 5, 2	-4, -2, 7	4	4	4	19	0.17391304347826086	0.4583333333333333	4.041666666666667	0.10185185185185185
5	5	0	0	2/2	2	1	vi7(+b64b2)					e	i		vi7(+b64b2)		vi		7	+b64b2				mm7	1	1	-5, 6, 1, -2	-4	0	-5	13	10	0.5652173913043478	2.5625	2.6875	0.4880952380952381
6	6	0	0	2/2	2	1	bIV7(+42)					e	i		bIV7(+42)		bIV		7	+42				Mm7	1	1	5, 0, -3, -6	2	-4	5	3	6	0.3333333333333333	0.5625	1.1875	0.32142857142857145
6	6	1/2	1/2	2/2	2	1	V7(9)/bV					e	i		V7(9)/bV		V		7	9	bV			Mm7	1	1	-1, 3, 0, -3	1	-1	-1	3	6	0.3333333333333333	0.3125	1.4375	0.17857142857142858
7	7	0	0	2/2	2	1	V7(9)/iv					e	i		V7(9)/iv		V		7	9	iv			Mm7	1	1	4, 8, 5, 2	-1	4	4	4	11	0.26666666666666666	0.2916666666666667	1.9583333333333333	0.12962962962962965
7	7	1/2	1/2	2/2	2	1	V7(b12b9)/ii					e	i		V7(b12b9)/ii		V		7	b12b9	ii			Mm7	1	1	7, 11, 8, 5	1, -5	7	7	5	6	0.45454545454545453	0.6666666666666666	1.25	0.34782608695652173
8	8	0	0	2/2	2	1	V7(b10)/iv					e	i		V7(b10)/iv		V		7	b10	iv			Mm7	1	1	4, 8, 5, 2	1	4	4	2	7	0.2222222222222222	0.125	0.75	0.14285714285714285
