mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/2	2	1	E.IM7(13#11){	E	I		IM7(13#11)	I	M	7	13#11			{	MM7	0	0	4, 8, 5, 9	7, 10	4	4	7	14	0.3333333333333333	1.0833333333333333	2.3333333333333335	0.31707317073170727
2	2	0	0	2/2	2	1	V7(+9)	E	I		V7(+9)	V		7	+9				Mm7	0	0	5, 9, 6, 3	7	5	5	6	17	0.2608695652173913	0.6666666666666666	3.2916666666666665	0.16842105263157894
3	3	0	0	2/2	2	1	IM7(13#11)	E	I		IM7(13#11)	I	M	7	13#11				MM7	0	0	4, 8, 5, 9	7, 10	4	4	5	16	0.23809523809523808	0.9166666666666666	2.6666666666666665	0.2558139534883721
4	4	0	0	2/2	2	1	V7(+9)	E	I		V7(+9)	V		7	+9				Mm7	0	0	5, 9, 6, 3	7	5	5	6	17	0.2608695652173913	0.6666666666666666	3.2916666666666665	0.16842105263157894
5	5	0	0	2/2	2	1	IM7(13#11)	E	I		IM7(13#11)	I	M	7	13#11				MM7	0	0	4, 8, 5, 9	7, 10	4	4	6	12	0.3333333333333333	1.75	2.75	0.3888888888888889
6	6	0	0	2/2	2	1	V7	E	I		V7	V		7					Mm7	0	0	5, 9, 6, 3		5	5	4	9	0.3076923076923077	0.75	2.5	0.23076923076923078
6	6	3/4	3/4	2/2	2	1	V43(13)	E	I		V43(13)	V		43	13				Mm7	0	0	6, 3, 5, 9	8	5	6	7	8	0.4666666666666667	1.125	2.125	0.34615384615384615
7	7	1/2	1/2	2/2	2	1	V7(13)/bI	E	I		V7(13)/bI	V		7	13	bI			Mm7	0	0	-2, 2, -1, -4	1	-2	-2	3	8	0.2727272727272727	0.375	1.875	0.16666666666666666
8	8	1/8	1/8	2/2	2	1	V7(9)/bIV	E	I		V7(9)/bIV	V		7	9	bIV			Mm7	0	0	-3, 1, -2, -5	-1	-3	-3	1	5	0.16666666666666666	0.25	1.625	0.13333333333333333
8	8	1/2	1/2	2/2	2	1	V7(b9)/bIII|HC}	E	I		V7(b9)/bIII	V		7	b9	bIII	HC	}	Mm7	0	0	2, 6, 3, 0	-3	2	2	1	7	0.125	0.125	2.25	0.05263157894736842
