mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
17	17	0	0	3/4	2	1	ii%7(1311)/ii			A	I		ii%7(1311)/ii		ii	%	7	1311	ii			%7	0	0	7, 4, 1, 5	3, 6	7	7	8	7	0.5333333333333333	1.375	1.875	0.4230769230769231
18	18	0	0	3/4	2	1	V7(13)/vi			A	I		V7(13)/vi		V		7	13	vi			Mm7	0	0	7, 11, 8, 5	3	7	7	5	6	0.45454545454545453	1.0	1.75	0.36363636363636365
19	19	0	0	3/4	2	1	IV7(9)/vi			A	I		IV7(9)/vi		IV		7	9	vi			Mm7	0	0	5, 9, 6, 3	7	5	5	3	7	0.3	0.5	2.25	0.18181818181818182
20	20	0	0	3/4	2	1	i(139)/vi|PC}			A	I		i(139)/vi		i			139	vi	PC	}	m	0	0	6, 3, 7	2, 8	6	6	0	9	0.0	0.0	3.25	0.0
21	21	0	0	3/4	2	1	V7/bV{			A	I		V7/bV		V		7		bV		{	Mm7	0	0	-2, 2, -1, -4		-2	-2	4	9	0.3076923076923077	0.5	1.75	0.2222222222222222
22	22	0	0	3/4	2	1	V7(9)			A	I		V7(9)		V		7	9				Mm7	0	0	4, 8, 5, 2	6	4	4	2	11	0.15384615384615385	0.25	3.0	0.07692307692307693
23	23	0	0	3/4	2	1	IM7			A	I		IM7		I	M	7					MM7	0	0	3, 7, 4, 8		3	3	4	11	0.26666666666666666	0.5	2.25	0.18181818181818182
24	24	0	0	3/4	2	1	V7(^#8)/bI			A	I		V7(^#8)/bI		V		7	^#8	bI			Mm7	0	0	-3, 1, -2, -5		-3	-3	1	8	0.1111111111111111	0.75	2.5	0.23076923076923078
25	25	0	0	3/4	2	1	IM7/bV			A	I		IM7/bV		I	M	7		bV			MM7	0	0	-3, 1, -2, 2		-3	-3	6	6	0.5	0.875	1.125	0.4375
25	25	1/2	1/2	3/4	2	1	bI7(^b6+#3#2)			A	I		bI7(^b6+#3#2)		bI		7	^b6+#3#2				Mm7	0	0	-4, 12, -3, -1	7	-4	-4	3	3	0.5	0.5	0.5	0.5
26	26	0	0	3/4	2	1	bII(6)			A	I		bII(6)		bII			6				M	0	0	-2, 2, 8		-2	-2	2	2	0.5	0.5	1.0	0.3333333333333333
26	26	1/4	1/4	3/4	2	1	V7(^b5#2)			A	I		V7(^b5#2)		V		7	^b5#2				Mm7	0	0	4, 13, -2, 2		4	4	1	1	0.5	0.25	0.25	0.5
26	26	1/2	1/2	3/4	2	1	bII(#7#5#2)			A	I		bII(#7#5#2)		bII			#7#5#2				M	0	0	-2, 14, 6	10	-2	-2	3	3	0.5	0.375	0.625	0.375
27	27	0	0	3/4	2	1	IM7/bVI			A	I		IM7/bVI		I	M	7		bVI			MM7	0	0	-1, 3, 0, 4		-1	-1	2	10	0.16666666666666666	0.25	2.5	0.09090909090909091
28	28	0	0	3/4	2	1	V7/V			A	I		V7/V		V		7		V			Mm7	0	0	5, 9, 6, 3		5	5	2	7	0.2222222222222222	0.25	1.75	0.125
28	28	1/2	1/2	3/4	2	1	V7|HC}			A	I		V7		V		7			HC	}	Mm7	0	0	4, 8, 5, 2		4	4	1	4	0.2	0.125	0.875	0.125
29	29	0	0	3/4	2	1	bIV7(b9^b6^4){			A	I		bIV7(b9^b6^4)		bIV		7	b9^b6^4			{	Mm7	0	0	-5, -1, 8, -2	-3	-5	-5	12	9	0.5714285714285714	2.25	1.875	0.5454545454545454
30	30	0	0	3/4	2	1	V7(139)/bV			A	I		V7(139)/bV		V		7	139	bV			Mm7	0	0	-2, 2, -1, -4	1, 0	-2	-2	7	13	0.35	1.0	3.25	0.23529411764705882
31	31	0	0	3/4	2	1	IV7(#52)/bIV			A	I		IV7(#52)/bIV		IV		7	#52	bIV			Mm7	0	0	-4, -2, 2, -8		-6	-4	11	9	0.55	1.875	2.375	0.4411764705882353
32	32	0	0	3/4	2	1	V7(9#4)/bI			A	I		V7(9#4)/bI		V		7	9#4	bI			Mm7	0	0	-3, 1, 3, -5	-1	-3	-3	6	9	0.4	1.5	2.25	0.4
33	33	0	0	3/4	2	1	ii%7(1311)/ii			A	I		ii%7(1311)/ii		ii	%	7	1311	ii			%7	0	0	7, 4, 1, 5	3, 6	7	7	9	6	0.6	1.625	1.625	0.5
34	34	0	0	3/4	2	1	V7(13)/vi			A	I		V7(13)/vi		V		7	13	vi			Mm7	0	0	7, 11, 8, 5	3	7	7	5	6	0.45454545454545453	1.0	1.75	0.36363636363636365
35	35	0	0	3/4	2	1	IV7(9)/vi			A	I		IV7(9)/vi		IV		7	9	vi			Mm7	0	0	5, 9, 6, 3	7	5	5	3	7	0.3	0.5	2.25	0.18181818181818182
36	36	0	0	3/4	2	1	i(139)/vi|PC}			A	I		i(139)/vi		i			139	vi	PC	}	m	0	0	6, 3, 7	2, 8	6	6	2	7	0.2222222222222222	0.5	2.75	0.15384615384615385
37	37	0	0	3/4	2	1	V7(9#4)/bI{			A	I		V7(9#4)/bI		V		7	9#4	bI		{	Mm7	0	0	-3, 1, 3, -5	-1	-3	-3	10	8	0.5555555555555556	1.9583333333333333	1.6666666666666667	0.5402298850574713
38	38	0	0	3/4	2	1	V7(b9)/bVI			A	I		V7(b9)/bVI		V		7	b9	bVI			Mm7	0	0	0, 4, 1, -2	-5	0	0	1	14	0.06666666666666667	0.125	3.625	0.03333333333333333
39	39	0	0	3/4	2	1	ii%7/vi			A	I		ii%7/vi		ii	%	7		vi			%7	0	0	8, 5, 2, 6		8	8	4	12	0.25	0.5	3.0	0.14285714285714285
40	40	0	0	3/4	2	1	V7(b9)/vi			A	I		V7(b9)/vi		V		7	b9	vi			Mm7	0	0	7, 11, 8, 5	-5	7	7	4	7	0.36363636363636365	1.0	2.75	0.26666666666666666
41	41	0	0	3/4	2	1	V7(13#11)/bVI			A	I		V7(13#11)/bVI		V		7	13#11	bVI			Mm7	0	0	0, 4, 1, -2	3, 6	0	0	1	16	0.058823529411764705	0.125	3.625	0.03333333333333333
42	42	0	0	3/4	2	1	bI7(+9#64)			A	I		bI7(+9#64)		bI		7	+9#64				Mm7	0	0	-4, 2, -3, 13	5	-4	-4	8	6	0.5714285714285714	2.125	1.375	0.6071428571428571
43	43	0	0	3/4	2	1	V7(b1311)/bIII			A	I		V7(b1311)/bIII		V		7	b1311	bIII			Mm7	0	0	1, 5, 2, -1	-3, 0	1	1	3	12	0.2	0.625	2.625	0.19230769230769232
44	44	0	0	3/4	2	1	V7(b9)|HC}			A	I		V7(b9)		V		7	b9		HC	}	Mm7	0	0	4, 8, 5, 2	-1	4	4	2	8	0.2	1.0	2.5	0.2857142857142857
45	45	0	0	3/4	2	1	V7(9#4)/bI{			A	I		V7(9#4)/bI		V		7	9#4	bI		{	Mm7	0	0	-3, 1, 3, -5	-1	-3	-3	10	8	0.5555555555555556	1.9583333333333333	1.6666666666666667	0.5402298850574713
46	46	0	0	3/4	2	1	V7(b9)/bVI			A	I		V7(b9)/bVI		V		7	b9	bVI			Mm7	0	0	0, 4, 1, -2	-5	0	0	1	14	0.06666666666666667	0.125	3.625	0.03333333333333333
47	47	0	0	3/4	2	1	ii%7/vi			A	I		ii%7/vi		ii	%	7		vi			%7	0	0	8, 5, 2, 6		8	8	4	12	0.25	0.5	3.0	0.14285714285714285
48	48	0	0	3/4	2	1	V7(b9)/vi			A	I		V7(b9)/vi		V		7	b9	vi			Mm7	0	0	7, 11, 8, 5	-5	7	7	6	9	0.4	1.25	2.5	0.3333333333333333
49	49	0	0	3/4	2	1	V7(13#11)/bVI			A	I		V7(13#11)/bVI		V		7	13#11	bVI			Mm7	0	0	0, 4, 1, -2	3, 6	0	0	1	16	0.058823529411764705	0.125	3.625	0.03333333333333333
50	50	0	0	3/4	2	1	V7(9)/iii			A	I		V7(9)/iii		V		7	9	iii			Mm7	0	0	8, 12, 9, 6	3	8	8	5	7	0.4166666666666667	1.25	2.25	0.35714285714285715
51	51	0	0	3/4	2	1	V7/bVI			A	I		V7/bVI		V		7		bVI			Mm7	0	0	0, 4, 1, -2		0	0	6	8	0.42857142857142855	1.125	1.5	0.42857142857142855
52	52	0	0	3/4	2	1	V7(6)/bII			A	I		V7(6)/bII		V		7	6	bII			Mm7	0	0	-1, 3, 2, -3		-1	-1	1	4	0.2	0.5	1.0	0.3333333333333333
52	52	1/4	1/4	3/4	2	1	V7(#6)/ii			A	I		V7(#6)/ii		V		7	#6	ii			Mm7	0	0	6, 10, 7, 9		6	6	1	3	0.25	0.25	0.75	0.25
52	52	1/2	1/2	3/4	2	1	V7(6)/bIII			A	I		V7(6)/bIII		V		7	6	bIII			Mm7	0	0	1, 5, 4, -1		1	1	0	5	0.0	0.0	1.25	0.0
53	53	0	0	3/4	2	1	ii7/bI|EC}{			A	I		ii7/bI		ii		7		bI	EC	}{	mm7	0	0	-2, -5, -1, -4		-2	-2	8	17	0.32	1.0	4.5	0.18181818181818182
54	54	0	0	3/4	2	1	V7(119)/bI			A	I		V7(119)/bI		V		7	119	bI			Mm7	0	0	-3, 1, -2, -5	-4, -1	-3	-3	3	11	0.21428571428571427	0.75	3.5	0.17647058823529413
55	55	0	0	3/4	2	1	IM7/V			A	I		IM7/V		I	M	7		V			MM7	0	0	4, 8, 5, 9		4	4	6	12	0.3333333333333333	1.125	3.125	0.2647058823529412
56	56	0	0	3/4	2	1	V7(9)/vi			A	I		V7(9)/vi		V		7	9	vi			Mm7	0	0	7, 11, 8, 5	2	7	7	3	11	0.21428571428571427	0.875	3.375	0.20588235294117646
57	57	0	0	3/4	2	1	V7(#5)/bIII			A	I		V7(#5)/bIII		V		7	#5	bIII			Mm7	0	0	1, 5, 9, -1		1	1	10	9	0.5263157894736842	1.75	2.25	0.4375
58	58	0	0	3/4	2	1	V7(9)/bVI			A	I		V7(9)/bVI		V		7	9	bVI			Mm7	0	0	0, 4, 1, -2	2	0	0	4	10	0.2857142857142857	1.25	3.0	0.29411764705882354
59	59	0	0	3/4	2	1	bIV7(9+b64)			A	I		bIV7(9+b64)		bIV		7	9+b64				Mm7	0	0	-5, 8, -4, -7	4, -2	-5	-5	9	8	0.5294117647058824	2.375	1.875	0.5588235294117647
60	60	0	0	3/4	2	1	V7(139)/bV|HC}			A	I		V7(139)/bV		V		7	139	bV	HC	}	Mm7	0	0	-2, 2, -1, -4	1, 0	-2	-2	1	21	0.045454545454545456	0.25	4.25	0.05555555555555555
61	61	0	0	3/4	2	1	V7/bI{			A	I		V7/bI		V		7		bI		{	Mm7	0	0	-3, 1, -2, -5		-3	-3	4	14	0.2222222222222222	0.3333333333333333	3.2916666666666665	0.09195402298850575
62	62	0	0	3/4	2	1	V7(b9)/bVI			A	I		V7(b9)/bVI		V		7	b9	bVI			Mm7	0	0	0, 4, 1, -2	-5	0	0	1	14	0.06666666666666667	0.125	3.625	0.03333333333333333
63	63	0	0	3/4	2	1	ii%7/vi			A	I		ii%7/vi		ii	%	7		vi			%7	0	0	8, 5, 2, 6		8	8	3	13	0.1875	0.375	3.125	0.10714285714285714
64	64	0	0	3/4	2	1	V7(b9)/vi			A	I		V7(b9)/vi		V		7	b9	vi			Mm7	0	0	7, 11, 8, 5	-5	7	7	4	11	0.26666666666666666	0.75	3.0	0.2
65	65	0	0	3/4	2	1	V7(13#11)/bVI			A	I		V7(13#11)/bVI		V		7	13#11	bVI			Mm7	0	0	0, 4, 1, -2	3, 6	0	0	1	16	0.058823529411764705	0.125	3.625	0.03333333333333333
66	66	0	0	3/4	2	1	V7(9)/iii			A	I		V7(9)/iii		V		7	9	iii			Mm7	0	0	8, 12, 9, 6	3	8	8	0	7	0.0	0.0	2.25	0.0
66	66	1/2	1/2	3/4	2	1	V7(b9)/bIII			A	I		V7(b9)/bIII		V		7	b9	bIII			Mm7	0	0	1, 5, 2, -1	-4	1	1	0	5	0.0	0.0	1.25	0.0
67	67	0	0	3/4	2	1	V7(#11)/bVI			A	I		V7(#11)/bVI		V		7	#11	bVI			Mm7	0	0	0, 4, 1, -2	6	0	0	4	10	0.2857142857142857	0.5	2.125	0.19047619047619047
68	68	0	0	3/4	2	1	V7(9)/V	1		A	I		V7(9)/V		V		7	9	V			Mm7	0	0	5, 9, 6, 3	7	5	5	0	5	0.0	0.0	2.0	0.0
68	68	1/2	1/2	3/4	2	1	V7(96)/bV	1		A	I		V7(96)/bV		V		7	96	bV			Mm7	0	0	-2, 2, 1, -4	0	-2	-2	0	5	0.0	0.0	1.25	0.0
69	68	0	0	3/4	2	1	V7(9)/V	2		A	I		V7(9)/V		V		7	9	V			Mm7	0	0	5, 9, 6, 3	7	5	5	1	4	0.2	0.75	1.0	0.42857142857142855
69	68	1/2	1/2	3/4	2	1	V7(9)/bV	2		A	I		V7(9)/bV		V		7	9	bV			Mm7	0	0	-2, 2, -1, -4	0	-2	-2	0	5	0.0	0.0	1.75	0.0
70	69	1/4	1/4	3/4	2	2	I7(9)}	2	V7(9)/IV}	A	I		I7(9)		I		7	9			}	Mm7	0	0	3, 7, 4, 1	5	3	3	0	11	0.0	0.0	5.5	0.0
