mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	1/4	1/4	3/4	2	1	A.II+43{			A	I		II+43		II	+	43				{	+7	0	0	13, 3, 5, 9		5	13	2	2	0.5	0.25	0.25	0.5
1	1	3/8	3/8	3/4	2	1	V2(9)/bIII			A	I		V2(9)/bIII		V		2	9	bIII			Mm7	0	0	-1, 1, 5, 2	3	1	-1	0	4	0.0	0.0	0.5	0.0
1	1	1/2	1/2	3/4	2	1	IM43			A	I		IM43		I	M	43					MM7	0	0	4, 8, 3, 7		3	4	0	4	0.0	0.0	0.5	0.0
1	1	5/8	5/8	3/4	2	1	V2(9)/bII			A	I		V2(9)/bII		V		2	9	bII			Mm7	0	0	-3, -1, 3, 0	1	-1	-3	0	4	0.0	0.0	0.5	0.0
2	2	0	0	3/4	2	1	ii6(b13)			A	I		ii6(b13)		ii		6	b13				m	0	0	2, 6, 5	1	5	2	2	4	0.3333333333333333	0.5	1.25	0.2857142857142857
2	2	3/8	3/8	3/4	2	1	Fr7(#6)			A	I		Fr7(#6)	Fr	V		7	#6b5	V			Fr	0	0	5, 9, -1, 15		5	5	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
2	2	1/2	1/2	3/4	2	1	bVIM43			A	I		bVIM43		bVI	M	43					MM7	0	0	0, 4, -1, 3		-1	0	0	3	0.0	0.0	0.375	0.0
2	2	5/8	5/8	3/4	2	1	IVM43			A	I		IVM43		IV	M	43					MM7	0	0	3, 7, 2, 6		2	3	0	4	0.0	0.0	0.5	0.0
3	3	0	0	3/4	2	1	iio2(b9)			A	I		iio2(b9)		ii	o	2	b9				o7	0	0	-4, 5, 2, -1	0	5	-4	1	6	0.14285714285714285	0.125	1.0	0.1111111111111111
3	3	1/4	1/4	3/4	2	1	IIM43			A	I		IIM43		II	M	43					MM7	0	0	6, 10, 5, 9		5	6	2	3	0.4	0.25	1.125	0.18181818181818182
3	3	5/8	5/8	3/4	2	1	v6(#4)			A	I		v6(#4)		v		6	#4				m	0	0	1, 10, 4		4	1	1	3	0.25	0.125	0.375	0.25
4	4	0	0	3/4	2	1	iii65			A	I		iii65		iii		65					mm7	0	0	4, 8, 5, 7		7	4	0	4	0.0	0.0	0.5	0.0
4	4	1/8	1/8	3/4	2	1	iv65			A	I		iv65		iv		65					mm7	0	0	-1, 3, 0, 2		2	-1	0	4	0.0	0.0	0.5	0.0
4	4	1/4	1/4	3/4	2	1	viio6(#12)/V			A	I		viio6(#12)/V		vii	o	6	#12	V			o	0	0	6, 3, 9	10	9	6	0	4	0.0	0.0	0.5	0.0
4	4	3/8	3/8	3/4	2	1	v6(#4)			A	I		v6(#4)		v		6	#4				m	0	0	1, 10, 4		4	1	1	3	0.25	0.125	0.375	0.25
4	4	1/2	1/2	3/4	2	1	iii65			A	I		iii65		iii		65					mm7	0	0	4, 8, 5, 7		7	4	0	4	0.0	0.0	0.5	0.0
4	4	5/8	5/8	3/4	2	1	iv65			A	I		iv65		iv		65					mm7	0	0	-1, 3, 0, 2		2	-1	0	4	0.0	0.0	0.5	0.0
5	5	0	0	3/4	2	1	bIV7(b9^b6^4)}{			A	I		bIV7(b9^b6^4)		bIV		7	b9^b6^4			}{	Mm7	0	0	-5, -1, 8, -2	-3	-5	-5	8	9	0.47058823529411764	1.75	2.0	0.4666666666666667
6	6	0	0	3/4	2	1	V7(139)/bV			A	I		V7(139)/bV		V		7	139	bV			Mm7	0	0	-2, 2, -1, -4	1, 0	-2	-2	4	12	0.25	0.625	2.875	0.17857142857142858
7	7	0	0	3/4	2	1	IV7(^#52)/bIV			A	I		IV7(^#52)/bIV		IV		7	^#52	bIV			Mm7	0	0	-4, -2, 2, -8		-6	-4	9	7	0.5625	1.625	1.875	0.4642857142857143
8	8	0	0	3/4	2	1	V7(9#4)/bI			A	I		V7(9#4)/bI		V		7	9#4	bI			Mm7	0	0	-3, 1, 3, -5	-1	-3	-3	2	9	0.18181818181818182	0.5	2.75	0.15384615384615385
9	9	0	0	3/4	2	1	ii%7(1311)/vi			A	I		ii%7(1311)/vi		ii	%	7	1311	vi			%7	0	0	8, 5, 2, 6	4, 7	8	8	4	11	0.26666666666666666	0.5	2.75	0.15384615384615385
10	10	0	0	3/4	2	1	V7(139)/bIII			A	I		V7(139)/bIII		V		7	139	bIII			Mm7	0	0	1, 5, 2, -1	4, 3	1	1	3	10	0.23076923076923078	0.5	2.75	0.15384615384615385
11	11	0	0	3/4	2	1	V7(#119)/bI			A	I		V7(#119)/bI		V		7	#119	bI			Mm7	0	0	-3, 1, -2, -5	3, -1	-3	-3	6	9	0.4	1.125	2.125	0.34615384615384615
12	12	0	0	3/4	2	1	bi7(#5+#3)}			A	I		bi7(#5+#3)		bi		7	#5+#3			}	mm7	0	0	-4, -7, 4, -6	0	-4	-4	5	10	0.3333333333333333	0.75	2.25	0.25
13	13	0	0	3/4	2	1	bIV7(b9^b6^4){			A	I		bIV7(b9^b6^4)		bIV		7	b9^b6^4			{	Mm7	0	0	-5, -1, 8, -2	-3	-5	-5	13	9	0.5909090909090909	2.625	1.875	0.5833333333333334
14	14	0	0	3/4	2	1	V7(139)/bV			A	I		V7(139)/bV		V		7	139	bV			Mm7	0	0	-2, 2, -1, -4	1, 0	-2	-2	7	13	0.35	1.0	3.25	0.23529411764705882
15	15	0	0	3/4	2	1	IV7(#52)/bIV			A	I		IV7(#52)/bIV		IV		7	#52	bIV			Mm7	0	0	-4, -2, 2, -8		-6	-4	11	9	0.55	1.875	2.375	0.4411764705882353
16	16	0	0	3/4	2	1	V7(#119)/bI			A	I		V7(#119)/bI		V		7	#119	bI			Mm7	0	0	-3, 1, -2, -5	3, -1	-3	-3	2	13	0.13333333333333333	0.625	3.125	0.16666666666666666
