mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/2	2	1	E.I(13#11){				E	I		I(13#11)		I			13#11			{	M	0	0	4, 8, 5	7, 10	4	4	10	23	0.30303030303030304	1.25	4.25	0.22727272727272727
3	3	0	0	2/2	2	1	i65				E	I		i65		i		65					mm7	0	0	1, 5, 2, 4		4	1	2	4	0.3333333333333333	0.25	0.75	0.25
3	3	1/4	1/4	2/2	2	1	V+(9)/bV	-1.13615	3.72723	/	E	I		V+(9)/bV		V	+		9	bV			+	0	0	-1, 3, 7	1	-1	-1	1	4	0.2	0.125	0.75	0.14285714285714285
3	3	1/2	1/2	2/2	2	1	IM7(+13)/bV				E	I		IM7(+13)/bV		I	M	7	+13	bV			MM7	0	0	-2, 2, -1, 3	1	-2	-2	0	13	0.0	0.0	2.625	0.0
4	4	1/2	1/2	2/2	2	1	i7(+13)/bV				E	I		i7(+13)/bV		i		7	+13	bV			mm7	0	0	-2, -5, -1, -4	1	-2	-2	0	5	0.0	0.0	1.25	0.0
5	5	0	0	2/2	2	1	V7(b9b10)				E	I		V7(b9b10)		V		7	b9b10				Mm7	0	0	5, 9, 6, 3	0, 2	5	5	1	10	0.09090909090909091	0.125	1.875	0.0625
5	5	3/4	3/4	2/2	2	1	V7(9#11)				E	I		V7(9#11)		V		7	9#11				Mm7	0	0	5, 9, 6, 3	7, 11	5	5	3	2	0.6	0.625	0.25	0.7142857142857143
6	6	0	0	2/2	2	1	V7(+b13)				E	I		V7(+b13)		V		7	+b13				Mm7	0	0	5, 9, 6, 3	1	5	5	0	4	0.0	0.0	0.75	0.0
6	6	1/4	1/4	2/2	2	1	V7/V/bVII				E	I		V7/V/bVII		V		7		V/bVII			Mm7	0	0	4, 8, 5, 2		4	4	0	3	0.0	0.0	0.5	0.0
6	6	1/2	1/2	2/2	2	1	V64/bVII				E	I		V64/bVII		V		64		bVII			M	0	0	4, 3, 7		3	4	1	2	0.3333333333333333	0.125	0.375	0.25
6	6	3/4	3/4	2/2	2	1	Fr43/V				E	I		Fr43/V	Fr	V		43	b5	V/V			Fr	0	0	1, 5, 7, 11		7	1	0	4	0.0	0.0	1.0	0.0
7	7	0	0	2/2	2	1	bVM7(^#4)/V				E	I		bVM7(^#4)/V		bV	M	7	^#4	V			MM7	0	0	-1, 3, 12, 4		-1	-1	1	3	0.25	0.25	0.75	0.25
7	7	1/4	1/4	2/2	2	1	bIII+43(9)				E	I		bIII+43(9)		bIII	+	43	9				+7	0	0	9, -1, 1, 5	3	1	9	4	0	1.0	1.0	0.0	1.0
7	7	1/2	1/2	2/2	2	1	i65				E	I		i65		i		65					mm7	0	0	1, 5, 2, 4		4	1	0	4	0.0	0.0	1.0	0.0
7	7	3/4	3/4	2/2	2	1	Fr42/V				E	I		Fr42/V	Fr	V		42	b5	V/V			Fr	0	0					4	0	1.0	1.0	0.0	1.0
8	8	0	0	2/2	2	1	V42/bI				E	I		V42/bI		V		42		bI			Mm7	0	0					5	0	1.0	1.25	0.0	1.0
8	8	1/2	1/2	2/2	2	1	V(976)/bIII|HC}				E	I		V(976)/bIII		V			976	bIII	HC	}	M	0	0	2, 6, 5	4, 0	2	2	0	6	0.0	0.0	1.5	0.0
9	9	0	0	2/2	2	1	bII(7)/bIII{	0	4.63615	/	E	I		bII(7)/bIII		bII			7	bIII		{	M	0	0	-4, 0, -3	1	-4	-4	1	5	0.16666666666666666	0.125	1.125	0.1
9	9	1/2	1/2	2/2	2	1	viio65/bIII				E	I		viio65/bIII		vii	o	65		bIII			o7	0	0	3, 0, -3, 6		6	3	3	5	0.375	0.375	1.375	0.21428571428571427
10	10	0	0	2/2	2	1	bII(7)/bIII	0	4.63615	/	E	I		bII(7)/bIII		bII			7	bIII			M	0	0	-4, 0, -3	1	-4	-4	3	6	0.3333333333333333	0.5	1.25	0.2857142857142857
10	10	1/2	1/2	2/2	2	1	viio65/bIII				E	I		viio65/bIII		vii	o	65		bIII			o7	0	0	3, 0, -3, 6		6	3	2	6	0.25	0.5	1.25	0.2857142857142857
11	11	0	0	2/2	2	1	V7(b10b13)				E	I		V7(b10b13)		V		7	b10b13				Mm7	0	0	5, 9, 6, 3	2, 1	5	5	0	6	0.0	0.0	1.25	0.0
