mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/2	2	1	D.V7(13+9)/V{		D	I		V7(13+9)/V	V		7	13+9	V		{	Mm7	0	0	4, 8, 5, 2	7, 6	4	4	1	7	0.125	0.25	2.25	0.1
1	1	1/2	1/2	2/2	2	1	V7(9)		D	I		V7(9)	V		7	9				Mm7	0	0	3, 7, 4, 1	5	3	3	3	11	0.21428571428571427	0.3125	2.1875	0.125
2	2	0	0	2/2	2	1	V7(13+9)/V		D	I		V7(13+9)/V	V		7	13+9	V			Mm7	0	0	4, 8, 5, 2	7, 6	4	4	1	9	0.1	0.25	2.25	0.1
2	2	1/2	1/2	2/2	2	1	V7(9)		D	I		V7(9)	V		7	9				Mm7	0	0	3, 7, 4, 1	5	3	3	3	11	0.21428571428571427	0.375	2.125	0.15
3	3	0	0	2/2	2	1	V7(13+9)/V		D	I		V7(13+9)/V	V		7	13+9	V			Mm7	0	0	4, 8, 5, 2	7, 6	4	4	2	14	0.125	0.5	2.25	0.18181818181818182
3	3	1/2	1/2	2/2	2	1	V7(9)		D	I		V7(9)	V		7	9				Mm7	0	0	3, 7, 4, 1	5	3	3	1	12	0.07692307692307693	0.08333333333333333	2.1666666666666665	0.037037037037037035
4	4	0	0	2/2	2	1	V7(9)/vi		D	I		V7(9)/vi	V		7	9	vi			Mm7	0	0	6, 10, 7, 4	1	6	6	5	12	0.29411764705882354	0.9166666666666666	3.5833333333333335	0.2037037037037037
5	5	0	0	2/2	2	1	V7(#13+9)/ii		D	I		V7(#13+9)/ii	V		7	#13+9	ii			Mm7	0	0	5, 9, 6, 3	8, 0	5	5	2	6	0.25	0.75	1.75	0.3
5	5	1/2	1/2	2/2	2	1	V7(+9)/V		D	I		V7(+9)/V	V		7	+9	V			Mm7	0	0	4, 8, 5, 2	6	4	4	4	10	0.2857142857142857	0.5625	1.9375	0.225
6	6	0	0	2/2	2	1	V7(#11b9)/bVII		D	I		V7(#11b9)/bVII	V		7	#11b9	bVII			Mm7	0	0	1, 5, 2, -1	7, -4	1	1	6	10	0.375	0.75	1.75	0.3
6	6	1/2	1/2	2/2	2	1	V7(b10b9)/bVI		D	I		V7(b10b9)/bVI	V		7	b10b9	bVI			Mm7	0	0	-1, 3, 0, -3	-4, -6	-1	-1	8	6	0.5714285714285714	1.0	1.5	0.4
7	7	0	0	2/2	2	1	V7(139)/V		D	I		V7(139)/V	V		7	139	V			Mm7	0	0	4, 8, 5, 2	7, 6	4	4	2	12	0.14285714285714285	0.375	2.125	0.15
7	7	1/2	1/2	2/2	2	1	V7(13+9)/IV		D	I		V7(13+9)/IV	V		7	13+9	IV			Mm7	0	0	2, 6, 3, 0	5, 4	2	2	4	9	0.3076923076923077	0.5625	1.875	0.23076923076923078
8	8	0	0	2/2	2	1	V7(9)/iii|HC}		D	I		V7(9)/iii	V		7	9	iii	HC	}	Mm7	0	0	7, 11, 8, 5	2	7	7	2	6	0.25	1.25	2.25	0.35714285714285715
8	8	1/2	1/2	2/2	2	1	V7(9)/bII		D	I		V7(9)/bII	V		7	9	bII			Mm7	0	0	-2, 2, -1, -4	0	-2	-2	0	6	0.0	0.0	1.5	0.0
8	8	3/4	3/4	2/2	2	1	V7(9)/II		D	I		V7(9)/II	V		7	9	II			Mm7	0	0	5, 9, 6, 3	7	5	5	0	6	0.0	0.0	1.5	0.0
9	9	0	0	2/2	2	1	V7(139)/V{		D	I		V7(139)/V	V		7	139	V		{	Mm7	0	0	4, 8, 5, 2	7, 6	4	4	1	9	0.1	0.25	3.0	0.07692307692307693
9	9	1/2	1/2	2/2	2	1	V7(#11)/bVII		D	I		V7(#11)/bVII	V		7	#11	bVII			Mm7	0	0	1, 5, 2, -1	7	1	1	1	5	0.16666666666666666	0.25	1.25	0.16666666666666666
10	10	0	0	2/2	2	1	V7(#11)/vi		D	I		V7(#11)/vi	V		7	#11	vi			Mm7	0	0	6, 10, 7, 4	12	6	6	4	12	0.25	0.5	2.0	0.2
10	10	1/2	1/2	2/2	2	1	V7(b9)/bVI		D	I		V7(b9)/bVI	V		7	b9	bVI			Mm7	0	0	-1, 3, 0, -3	-6	-1	-1	9	7	0.5625	1.125	1.375	0.45
11	11	0	0	2/2	2	1	V7(13+9)/V		D	I		V7(13+9)/V	V		7	13+9	V			Mm7	0	0	4, 8, 5, 2	7, 6	4	4	2	14	0.125	0.375	2.125	0.15
11	11	1/2	1/2	2/2	2	1	V7(b9)		D	I		V7(b9)	V		7	b9				Mm7	0	0	3, 7, 4, 1	-2	3	3	6	8	0.42857142857142855	0.5	2.0	0.2
12	12	0	0	2/2	2	1	V7(9)/vi		D	I		V7(9)/vi	V		7	9	vi			Mm7	0	0	6, 10, 7, 4	1	6	6	5	12	0.29411764705882354	1.25	2.75	0.3125
12	12	1/2	1/2	2/2	2	1	IV[V7(9)/vi]		D	I	IV	V7(9)/vi	V		7	9	vi			Mm7	0	0	6, 10, 7, 4	1	6	6	5	10	0.3333333333333333	0.5	1.75	0.2222222222222222
13	13	0	0	2/2	2	1	V7(#13+9)/ii		D	I		V7(#13+9)/ii	V		7	#13+9	ii			Mm7	0	0	5, 9, 6, 3	8, 0	5	5	4	6	0.4	0.875	1.625	0.35
13	13	1/2	1/2	2/2	2	1	V7(13+9)/IV		D	I		V7(13+9)/IV	V		7	13+9	IV			Mm7	0	0	2, 6, 3, 0	5, 4	2	2	6	10	0.375	0.6666666666666666	1.8333333333333333	0.26666666666666666
14	14	0	0	2/2	2	1	V7(b13b10)/bVI		D	I		V7(b13b10)/bVI	V		7	b13b10	bVI			Mm7	0	0	-1, 3, 0, -3	-5, -4	-1	-1	6	6	0.5	1.25	1.5	0.45454545454545453
14	14	1/2	1/2	2/2	2	1	V7(#11b9)/bVII		D	I		V7(#11b9)/bVII	V		7	#11b9	bVII			Mm7	0	0	1, 5, 2, -1	7, -4	1	1	2	6	0.25	0.625	1.625	0.2777777777777778
15	15	0	0	2/2	2	1	V7(b10b9)/bVI		D	I		V7(b10b9)/bVI	V		7	b10b9	bVI			Mm7	0	0	-1, 3, 0, -3	-4, -6	-1	-1	8	6	0.5714285714285714	1.0	1.5	0.4
15	15	1/2	1/2	2/2	2	1	V7(9)/V		D	I		V7(9)/V	V		7	9	V			Mm7	0	0	4, 8, 5, 2	6	4	4	3	12	0.2	0.4375	2.0625	0.175
16	16	0	0	2/2	2	1	V7(9)/iii|HC}		D	I		V7(9)/iii	V		7	9	iii	HC	}	Mm7	0	0	7, 11, 8, 5	2	7	7	2	6	0.25	1.25	2.25	0.35714285714285715
16	16	1/2	1/2	2/2	2	1	V7(9)/bII		D	I		V7(9)/bII	V		7	9	bII			Mm7	0	0	-2, 2, -1, -4	0	-2	-2	0	6	0.0	0.0	1.5	0.0
16	16	3/4	3/4	2/2	2	1	V7(9)/II		D	I		V7(9)/II	V		7	9	II			Mm7	0	0	5, 9, 6, 3	7	5	5	0	6	0.0	0.0	1.5	0.0
17	17	0	0	2/2	2	1	V7(13+9)/V{		D	I		V7(13+9)/V	V		7	13+9	V		{	Mm7	0	0	4, 8, 5, 2	7, 6	4	4	2	8	0.2	0.375	2.0	0.15789473684210525
17	17	1/2	1/2	2/2	2	1	V7(9)		D	I		V7(9)	V		7	9				Mm7	0	0	3, 7, 4, 1	5	3	3	5	10	0.3333333333333333	0.8333333333333334	1.6666666666666667	0.33333333333333337
18	18	0	0	2/2	2	1	V7(9)/vi		D	I		V7(9)/vi	V		7	9	vi			Mm7	0	0	6, 10, 7, 4	1	6	6	5	9	0.35714285714285715	0.6875	1.6875	0.2894736842105263
18	18	1/2	1/2	2/2	2	1	V7(13+9)/V		D	I		V7(13+9)/V	V		7	13+9	V			Mm7	0	0	4, 8, 5, 2	7, 6	4	4	2	12	0.14285714285714285	0.3125	1.9375	0.1388888888888889
19	19	0	0	2/2	2	1	V7/IV		D	I		V7/IV	V		7		IV			Mm7	0	0	2, 6, 3, 0		2	2	3	7	0.3	1.0625	1.8125	0.3695652173913043
19	19	1/2	1/2	2/2	2	1	V7(#11)/bVII		D	I		V7(#11)/bVII	V		7	#11	bVII			Mm7	0	0	1, 5, 2, -1	7	1	1	5	7	0.4166666666666667	0.5833333333333334	1.4166666666666667	0.2916666666666667
20	20	0	0	2/2	2	1	V7(+9)/vi		D	I		V7(+9)/vi	V		7	+9	vi			Mm7	0	0	6, 10, 7, 4	1	6	6	4	7	0.36363636363636365	0.75	2.5	0.23076923076923078
20	20	5/8	5/8	2/2	2	1	V7(9)/bVI		D	I		V7(9)/bVI	V		7	9	bVI			Mm7	0	0	-1, 3, 0, -3	1	-1	-1	0	5	0.0	0.0	1.25	0.0
