mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	D.IM7(9){	0	4.74976	/		D	I		IM7(9)		I	M	7	9			{	MM7	0	0	2, 6, 3, 7	4	2	2	7	20	0.25925925925925924	0.4375	1.0625	0.2916666666666667
2	2	0	0	2/4	2	1	V7(139)/IV					D	I		V7(139)/IV		V		7	139	IV			Mm7	0	0	2, 6, 3, 0	5, 4	2	2	8	16	0.3333333333333333	0.31875	0.696875	0.31384615384615383
3	3	0	0	2/4	2	1	IV7(9)					D	I		IV7(9)		IV		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1	2	14	0.125	0.125	0.875	0.125
3	3	3/8	3/8	2/4	2	1	V7(6)					D	I		V7(6)		V		7	6				Mm7	0	0	3, 7, 6, 1		3	3	1	3	0.25	0.125	0.375	0.25
4	4	0	0	2/4	2	1	I7(+42)/bV|HC}					D	I		I7(+42)/bV		I		7	+42	bV	HC	}	Mm7	0	0	-2, 0, -3, -6	-5	-4	-2	10	11	0.47619047619047616	0.4375	0.375	0.5384615384615384
5	5	0	0	2/4	2	1	IM7(9){					D	I		IM7(9)		I	M	7	9			{	MM7	0	0	2, 6, 3, 7	4	2	2	7	20	0.25925925925925924	0.4375	1.375	0.2413793103448276
6	6	0	0	2/4	2	1	V7(11)/bII					D	I		V7(11)/bII		V		7	11	bII			Mm7	0	0	-2, 2, -1, -4	-3	-2	-2	7	8	0.4666666666666667	0.34375	0.46875	0.4230769230769231
6	6	1/4	1/4	2/4	2	1	V(139)/bII					D	I		V(139)/bII		V			139	bII			M	0	0	-2, 2, -1	1, 0	-2	-2	3	6	0.3333333333333333	0.009375	0.25625	0.03529411764705882
7	7	0	0	2/4	2	1	V2(9)/IV					D	I		V2(9)/IV		V		2	9	IV			Mm7	0	0	0, 2, 6, 3	4	2	0	6	8	0.42857142857142855	0.375	0.625	0.375
7	7	5/16	5/16	2/4	2	1	#iv7					D	I		#iv7		#iv		7					mm7	0	0	8, 5, 9, 6		8	8	1	3	0.25	0.0625	0.1875	0.25
7	7	3/8	3/8	2/4	2	1	Fr7/IV					D	I		Fr7/IV	Fr	V		7	b5	V/IV			Fr	0	0	3, 7, -3, 1		3	3	0	4	0.0	0.0	0.5	0.0
8	8	0	0	2/4	2	1	V7/bII					D	I		V7/bII		V		7		bII			Mm7	0	0	-2, 2, -1, -4		-2	-2	0	3	0.0	0.0	0.1875	0.0
8	8	1/8	1/8	2/4	2	1	V65(b5)					D	I		V65(b5)		V		65	b5				Mm7	0	0	7, -3, 1, 3		3	7	2	4	0.3333333333333333	0.03125	0.46875	0.0625
8	8	1/4	1/4	2/4	2	1	I7|PAC}					D	I		I7		I		7			PAC	}	Mm7	0	0	2, 6, 3, 0		2	2	3	4	0.42857142857142855	0.1875	0.25	0.42857142857142855
9	9	0	0	2/4	2	1	IV7(9){					D	I		IV7(9)		IV		7	9			{	Mm7	0	0	1, 5, 2, -1	3	1	1	7	20	0.25925925925925924	0.5625	2.375	0.19148936170212766
10	10	0	0	2/4	2	1	vii%2(11)/bI					D	I		vii%2(11)/bI		vii	%	2	11	bI			%7	0	0	-2, 0, -3, -6	-1	0	-2	0	28	0.0	0.0	2.375	0.0
11	11	0	0	2/4	2	1	bvi%7(+b4)					D	I		bvi%7(+b4)		bvi	%	7	+b4				%7	0	0	-2, -5, -8, -4	-3	-2	-2	0	26	0.0	0.0	2.25	0.0
12	12	0	0	2/4	2	1	i7(+96b4)/bV|HC}					D	I		i7(+96b4)/bV		i		7	+96b4	bV	HC	}	mm7	0	0	-4, -12, -1, -6	-2	-4	-4	7	11	0.3888888888888889	0.4375	0.4375	0.5
