mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
13	13	0	0	2/4	2	1	IV7(9){					D	I		IV7(9)		IV		7	9			{	Mm7	0	0	1, 5, 2, -1	3	1	1	7	20	0.25925925925925924	0.5625	2.375	0.19148936170212766
14	14	0	0	2/4	2	1	bIVM43(11)					D	I		bIVM43(11)		bIV	M	43	11				MM7	0	0	-5, -1, -6, -2	7	-6	-5	5	23	0.17857142857142858	0.375	2.0	0.15789473684210525
15	15	0	0	2/4	2	1	IIM65					D	I		IIM65		II	M	65					MM7	0	0	8, 5, 9, 4		4	8	1	24	0.04	0.0625	2.0625	0.029411764705882353
15	15	3/8	3/8	2/4	2	1	vii7(9)					D	I		vii7(9)		vii		7	9				mm7	0	0	7, 4, 8, 5	2	7	7	5	2	0.7142857142857143	0.3125	0.1875	0.625
16	16	1/16	1/16	2/4	2	1	V65|HC}					D	I		V65		V		65			HC	}	Mm7	0	0	7, 4, 1, 3		3	7	6	4	0.6	0.3333333333333333	0.16666666666666666	0.6666666666666666
17	17	0	0	2/4	2	1	IM7(9){					D	I		IM7(9)		I	M	7	9			{	MM7	0	0	2, 6, 3, 7	4	2	2	6	21	0.2222222222222222	0.375	1.1875	0.24
18	18	0	0	2/4	2	1	V7(139)/IV					D	I		V7(139)/IV		V		7	139	IV			Mm7	0	0	2, 6, 3, 0	5, 4	2	2	8	16	0.3333333333333333	0.35	0.728125	0.32463768115942027
19	19	0	0	2/4	2	1	IV7(9)					D	I		IV7(9)		IV		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1	2	14	0.125	0.125	0.875	0.125
19	19	3/8	3/8	2/4	2	1	V7(b6)					D	I		V7(b6)		V		7	b6				Mm7	0	0	3, 7, -1, 1		3	3	0	4	0.0	0.0	0.5	0.0
20	20	0	0	2/4	2	1	I(11)/bV|HC}					D	I		I(11)/bV		I			11	bV	HC	}	M	0	0	-4, 0, -3	-5	-4	-4	13	8	0.6190476190476191	0.5416666666666666	0.2708333333333333	0.6666666666666666
21	21	0	0	2/4	2	1	IM7(9){					D	I		IM7(9)		I	M	7	9			{	MM7	0	0	2, 6, 3, 7	4	2	2	7	20	0.25925925925925924	0.4375	1.375	0.2413793103448276
22	22	0	0	2/4	2	1	V7(11)/bII					D	I		V7(11)/bII		V		7	11	bII			Mm7	0	0	-2, 2, -1, -4	-3	-2	-2	7	8	0.4666666666666667	0.34375	0.46875	0.4230769230769231
22	22	1/4	1/4	2/4	2	1	V(139)/bII					D	I		V(139)/bII		V			139	bII			M	0	0	-2, 2, -1	1, 0	-2	-2	3	6	0.3333333333333333	0.009375	0.25625	0.03529411764705882
23	23	0	0	2/4	2	1	V2(9)/IV					D	I		V2(9)/IV		V		2	9	IV			Mm7	0	0	0, 2, 6, 3	4	2	0	6	8	0.42857142857142855	0.375	0.625	0.375
23	23	5/16	5/16	2/4	2	1	Fr7					D	I		Fr7	Fr	V		7	b5	V			Fr	0	0	4, 8, -2, 2		4	4	3	1	0.75	0.1875	0.0625	0.75
23	23	3/8	3/8	2/4	2	1	Fr7/IV					D	I		Fr7/IV	Fr	V		7	b5	V/IV			Fr	0	0	3, 7, -3, 1		3	3	0	4	0.0	0.0	0.5	0.0
24	24	0	0	2/4	2	1	V7/bII					D	I		V7/bII		V		7		bII			Mm7	0	0	-2, 2, -1, -4		-2	-2	0	3	0.0	0.0	0.1875	0.0
24	24	1/8	1/8	2/4	2	1	V65(b5)					D	I		V65(b5)		V		65	b5				Mm7	0	0	7, -3, 1, 3		3	7	2	4	0.3333333333333333	0.03125	0.46875	0.0625
24	24	1/4	1/4	2/4	2	1	I7|PAC}					D	I		I7		I		7			PAC	}	Mm7	0	0	2, 6, 3, 0		2	2	1	5	0.16666666666666666	0.125	0.375	0.25
25	25	0	0	2/4	2	1	I[bVI65(11#9){					D	I	I	bVI65(11#9)		bVI		65	11#9			{	Mm7	0	0	2, -1, -4, -2	4, 14	-2	2	8	14	0.36363636363636365	0.625	1.6875	0.2702702702702703
26	26	0	0	2/4	2	1	ii2					D	I	I	ii2		ii		2					mm7	0	0	2, 4, 1, 5		4	2	9	13	0.4090909090909091	0.5625	1.6875	0.25
27	27	0	0	2/4	2	1	bVI65(11#9)]					D	I	I	bVI65(11#9)		bVI		65	11#9				Mm7	0	0	2, -1, -4, -2	4, 14	-2	2	10	16	0.38461538461538464	0.625	1.6875	0.2702702702702703
28	28	0	0	2/4	2	1	vii%65(9)/IV					D	I		vii%65(9)/IV		vii	%	65	9	IV			%7	0	0	3, 0, 4, 6	1	6	3	6	13	0.3157894736842105	0.625	1.25	0.3333333333333333
29	29	0	0	2/4	2	1	iM7/IV					D	I		iM7/IV		i	M	7		IV			mM7	0	0	1, -2, 2, 6		1	1	5	8	0.38461538461538464	0.22916666666666666	0.4583333333333333	0.3333333333333333
30	30	0	0	2/4	2	1	V43/iii					D	I		V43/iii		V		43		iii			Mm7	0	0	8, 5, 7, 11		7	8	2	8	0.2	0.125	1.125	0.1
30	30	3/8	3/8	2/4	2	1	ii%65					D	I		ii%65		ii	%	65					%7	0	0	1, -2, 2, 4		4	1	0	4	0.0	0.0	0.5	0.0
31	31	0	0	2/4	2	1	V43/ii					D	I		V43/ii		V		43		ii			Mm7	0	0	6, 3, 5, 9		5	6	2	8	0.2	0.125	1.125	0.1
31	31	3/8	3/8	2/4	2	1	ii%65/bI					D	I		ii%65/bI		ii	%	65		bI			%7	0	0	-6, -9, -5, -3		-3	-6	4	0	1.0	0.5	0.0	1.0
32	32	0	0	2/4	2	1	V43|HC}					D	I		V43		V		43			HC	}	Mm7	0	0	4, 1, 3, 7		3	4	8	6	0.5714285714285714	0.46875	0.40625	0.5357142857142857
33	33	0	0	2/4	2	1	I[bVI65(11#9){					D	I	I	bVI65(11#9)		bVI		65	11#9			{	Mm7	0	0	2, -1, -4, -2	4, 14	-2	2	9	14	0.391304347826087	0.6875	1.625	0.2972972972972973
34	34	0	0	2/4	2	1	ii2					D	I	I	ii2		ii		2					mm7	0	0	2, 4, 1, 5		4	2	9	13	0.4090909090909091	0.5625	1.6875	0.25
35	35	0	0	2/4	2	1	bVI65(11#9)]					D	I	I	bVI65(11#9)		bVI		65	11#9				Mm7	0	0	2, -1, -4, -2	4, 14	-2	2	10	16	0.38461538461538464	0.625	1.6875	0.2702702702702703
36	36	0	0	2/4	2	1	vii%65(9)/IV					D	I		vii%65(9)/IV		vii	%	65	9	IV			%7	0	0	3, 0, 4, 6	1	6	3	6	13	0.3157894736842105	0.625	1.25	0.3333333333333333
37	37	0	0	2/4	2	1	iM7/IV					D	I		iM7/IV		i	M	7		IV			mM7	0	0	1, -2, 2, 6		1	1	5	8	0.38461538461538464	0.22916666666666666	0.4583333333333333	0.3333333333333333
38	38	0	0	2/4	2	2	V2/VI					D	I		V2/VI		V		2		VI			Mm7	0	0	4, 6, 10, 7		6	4	3	4	0.42857142857142855	0.375	0.4375	0.46153846153846156
38	38	3/16	3/16	2/4	2	2	V7(b9#5)/bII					D	I		V7(b9#5)/bII		V		7	b9#5	bII			Mm7	0	0	-2, 2, 6, -4	-7	-2	-2	4	9	0.3076923076923077	0.25	0.5625	0.3076923076923077
38	38	3/8	3/8	2/4	2	2	V7(119)/bI					D	I		V7(119)/bI		V		7	119	bI			Mm7	0	0	-4, 0, -3, -6	-5, -2	-4	-4	1	4	0.2	0.0625	0.4375	0.125
39	39	0	0	2/4	2	1	IV7(9)					D	I		IV7(9)		IV		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1	2	7	0.2222222222222222	0.125	0.4375	0.2222222222222222
39	39	3/8	3/8	2/4	2	1	V7(6)					D	I		V7(6)		V		7	6				Mm7	0	0	3, 7, 6, 1		3	3	1	3	0.25	0.125	0.375	0.25
40	40	0	0	2/4	2	1	I(11)/bV				1	D	I		I(11)/bV		I			11	bV			M	0	0	-4, 0, -3	-5	-4	-4	2	2	0.5	0.125	0.125	0.5
40	40	1/8	1/8	2/4	2	1	V65(b5)				1	D	I		V65(b5)		V		65	b5				Mm7	0	0	7, -3, 1, 3		3	7	2	4	0.3333333333333333	0.03125	0.46875	0.0625
40	40	1/4	1/4	2/4	2	1	I7|PAC}				1	D	I		I7		I		7			PAC	}	Mm7	0	0	2, 6, 3, 0		2	2	2	5	0.2857142857142857	0.125	0.3125	0.2857142857142857
41	40	0	0	2/4	2	1	I(11)/bV				2	D	I		I(11)/bV		I			11	bV			M	0	0	-4, 0, -3	-5	-4	-4	2	2	0.5	0.125	0.125	0.5
41	40	1/8	1/8	2/4	2	1	V65(b5)				2	D	I		V65(b5)		V		65	b5				Mm7	0	0	7, -3, 1, 3		3	7	2	4	0.3333333333333333	0.03125	0.46875	0.0625
41	40	1/4	1/4	2/4	2	1	I7|PAC}				2	D	I		I7		I		7			PAC	}	Mm7	0	0	2, 6, 3, 0		2	2	0	4	0.0	0.0	0.25	0.0
