mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin
19	19	75/2	75/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	243							21	
20	20	38	38	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	244								
20	20	153/4	153/4	0.08333333333333333		1/16	1/16	Chord	2/4	1	1	1/48	1/32	2/3	245							22	
20	20	115/3	115/3	0.08333333333333333		1/12	1/12	Chord	2/4	1	1	1/48	1/32	2/3	246							22	
20	20	461/12	461/12	0.08333333333333333		5/48	5/48	Chord	2/4	1	1	1/48	1/32	2/3	247							22	
20	20	77/2	77/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	248								
20	20	155/4	155/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	249								
20	20	39	39	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	250		articStaccatoBelow						
20	20	157/4	157/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	251		articStaccatoBelow						
20	20	79/2	79/2	0.0625		3/8	3/8	Chord	2/4	1	1	1/64	1/64	1	252							23	
20	20	633/16	633/16	0.0625		25/64	25/64	Chord	2/4	1	1	1/64	1/64	1	253							23	
20	20	317/8	317/8	0.0625		13/32	13/32	Chord	2/4	1	1	1/64	1/64	1	254							23	
20	20	635/16	635/16	0.0625		27/64	27/64	Chord	2/4	1	1	1/64	1/64	1	255							23	
20	20	159/4	159/4	0.0625		7/16	7/16	Chord	2/4	1	1	1/64	1/64	1	256							23	
20	20	637/16	637/16	0.0625		29/64	29/64	Chord	2/4	1	1	1/64	1/64	1	257							23	
20	20	319/8	319/8	0.0625		15/32	15/32	Chord	2/4	1	1	1/64	1/64	1	258							23	
20	20	639/16	639/16	0.0625		31/64	31/64	Chord	2/4	1	1	1/64	1/64	1	259							23	
20	20	38	38	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	260								
20	20	155/4	155/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	261								
21	21	40	40	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	262								
21	21	161/4	161/4	0.125		1/16	1/16	Chord	2/4	1	1	1/32	1/32	1	263							24	
21	21	323/8	323/8	0.125		3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	264							24	
21	21	81/2	81/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	265								
21	21	163/4	163/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	266								
21	21	41	41	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	267		articTenutoBelow						
21	21	83/2	83/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	268		articStaccatoBelow						
21	21	167/4	167/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	269		articStaccatoBelow						
21	21	40	40	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	270								
21	21	81/2	81/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	271								
21	21	163/4	163/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	272								
21	21	41	41	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	273		articTenutoAbove						
21	21	83/2	83/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	274		articStaccatoAbove						
21	21	167/4	167/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	275		articStaccatoAbove						
22	22	42	42	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	276								
22	22	169/4	169/4	0.125		1/16	1/16	Chord	2/4	1	1	1/32	1/32	1	277							25	
22	22	339/8	339/8	0.125		3/32	3/32	Chord	2/4	1	1	1/32	1/32	1	278							25	
22	22	85/2	85/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	279								
22	22	171/4	171/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	280		articStaccatoBelow						
22	22	43	43	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	281		articStaccatoBelow						
22	22	703/16	703/16	0.0125		31/64	31/64	Chord	2/4	1	1	1/320	1/256	4/5	282							26	
22	22	879/20	879/20	0.0125		39/80	39/80	Chord	2/4	1	1	1/320	1/256	4/5	283							26	
22	22	3517/80	3517/80	0.0125		157/320	157/320	Chord	2/4	1	1	1/320	1/256	4/5	284							26	
22	22	1759/40	1759/40	0.0125		79/160	79/160	Chord	2/4	1	1	1/320	1/256	4/5	285							26	
22	22	3519/80	3519/80	0.0125		159/320	159/320	Chord	2/4	1	1	1/320	1/256	4/5	286							26	
22	22	42	42	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	287		articStaccatoAbove						
22	22	85/2	85/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	288		articStaccatoAbove						
22	22	171/4	171/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	289		articStaccatoAbove						
22	22	43	43	0.25		1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	290		articStaccatoAbove						
23	23	44	44	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	291							26	
23	23	177/4	177/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	292								
23	23	89/2	89/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	293		articStaccatoBelow						
23	23	179/4	179/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	294		articStaccatoBelow						
