mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin
7	7	25/2	25/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	94								
7	7	51/4	51/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	95								
7	7	53/4	53/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	96								
7	7	27/2	27/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	97							11	
8	8	14	14	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	98								
8	8	29/2	29/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	99		articAccentAbove					12	
8	8	119/8	119/8	0.0		7/32	7/32	Spanner	2/4	1	1	0										12	0
8	8	15	15	0.0		1/4	1/4	Spanner	2/4	1	1	0											
8	8	15	15	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	100								
8	8	29/2	29/2	0.375		1/8	1/8	Chord	2/4	1	2	3/32	1/16	3/2	101		articAccentBelow						
8	8	119/8	119/8	0.0625		7/32	7/32	Chord	2/4	1	2	1/64	1/64	1	102								
8	8	239/16	239/16	0.0625		15/64	15/64	Chord	2/4	1	2	1/64	1/64	1	103								
8	8	15	15	0.25		1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	104								
8	8	61/4	61/4	0.25		5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	105		articAccentBelow						
8	8	31/2	31/2	0.25		3/8	3/8	Chord	2/4	1	2	1/16	1/16	1	106		articAccentBelow						
8	8	63/4	63/4	0.25		7/16	7/16	Chord	2/4	1	2	1/16	1/16	1	107		articAccentBelow						
8	8	14	14	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	108								
8	8	29/2	29/2	0.0		1/8	1/8	Spanner	2/4	2	1	0											1
8	8	29/2	29/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	109		articAccentAbove					13	1
8	8	15	15	0.0		1/4	1/4	Spanner	2/4	2	1	0											
8	8	15	15	0.25		1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	110								
8	8	61/4	61/4	0.0		5/16	5/16	Dynamic	2/4	2	1	0				mf							
9	9	16	16	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	111		articStaccatoBelow						
9	9	65/4	65/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	112		articStaccatoBelow						
9	9	33/2	33/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	113		articStaccatoBelow						
