mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	crescendo_hairpin	TextLine
1	1	0	0	0.0		0	0	Tempo	2/2	1	1	0							M. M.𝅘𝅥 = 80	80.0	1.0			
1	1	0	0	0.0		0	0	Dynamic	2/2	1	1	0				mp								
1	1	0	0	2.0		0	0	Chord	2/2	1	1	1/2	1/2	1	0							0		
1	1	2	2	0.75		1/2	1/2	Chord	2/2	1	1	3/16	1/8	3/2	1							0		
1	1	11/4	11/4	0.25		11/16	11/16	Chord	2/2	1	1	1/16	1/16	1	2							0		
1	1	3	3	0.75		3/4	3/4	Chord	2/2	1	1	3/16	1/8	3/2	3							0		
1	1	15/4	15/4	0.25		15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	4							0		
1	1	0	0	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	5		articTenutoBelow							
1	1	1	1	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	6		articTenutoAbove							
1	1	2	2	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	7		articTenutoBelow							
1	1	3	3	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	8		articTenutoAbove							
2	2	4	4	1.5		0	0	Chord	2/2	1	1	3/8	1/4	3/2	9									
2	2	11/2	11/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	10							1		
2	2	6	6	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	11							1		
2	2	13/2	13/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	12							1		
2	2	7	7	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	13							1		
2	2	15/2	15/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	14							1		
2	2	4	4	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	15		articTenutoBelow							
2	2	5	5	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	16		articTenutoAbove							
2	2	6	6	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	17		articTenutoBelow							
2	2	7	7	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	18		articTenutoAbove							
3	3	8	8	0.3333333333333333		0	0	Chord	2/2	1	1	1/12	1/8	2/3	19									
3	3	25/3	25/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12	1/8	2/3	20									
3	3	26/3	26/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12	1/8	2/3	21									
3	3	9	9	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	22									
3	3	19/2	19/2	1.0		3/8	3/8	Chord	2/2	1	1	1/4	1/4	1	23		articTenutoAbove							
3	3	21/2	21/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	24							2		
3	3	11	11	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12	1/8	2/3	25							2		
3	3	34/3	34/3	0.6666666666666666		5/6	5/6	Chord	2/2	1	1	1/6	1/4	2/3	26							2		
3	3	11	11	0.3333333333333333		3/4	3/4	Chord	2/2	1	2	1/12	1/8	2/3	27									
