mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	Ottava:8va	crescendo_hairpin
9	9	67/2	67/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	85									
9	9	35	35	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12	1/8	2/3	86							10		
9	9	106/3	106/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12	1/8	2/3	87							10		
9	9	107/3	107/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12	1/8	2/3	88							10		
9	9	32	32	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	89									
9	9	33	33	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	90									
9	9	34	34	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	91									
9	9	35	35	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	92									
10	10	36	36	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	93									
10	10	73/2	73/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	94									
10	10	37	37	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	95									
10	10	75/2	75/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	96									
10	10	38	38	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	97									
10	10	39	39	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12	1/8	2/3	98							11		
10	10	118/3	118/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12	1/8	2/3	99							11		
10	10	119/3	119/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12	1/8	2/3	100							11		
10	10	36	36	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	101									
10	10	37	37	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	102									
10	10	38	38	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	103									
10	10	39	39	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	104									
11	11	40	40	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	105									
11	11	81/2	81/2	1.0	1/8	1/8	Chord	2/2	1	1	1/4	1/4	1	106		articTenutoAbove							
11	11	83/2	83/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	107		articAccentStaccatoAbove							
11	11	43	43	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12	1/8	2/3	108							12		
11	11	130/3	130/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12	1/8	2/3	109							12		
11	11	131/3	131/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12	1/8	2/3	110							12		
11	11	40	40	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	111									
11	11	41	41	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	112									
11	11	42	42	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	113									
11	11	43	43	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	114									
12	12	44	44	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	115									
12	12	89/2	89/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	116									
12	12	45	45	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	117									
12	12	91/2	91/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	118									
12	12	46	46	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	119									
12	12	47	47	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12	1/8	2/3	120							13		
12	12	142/3	142/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12	1/8	2/3	121							13		
12	12	143/3	143/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12	1/8	2/3	122							13		
12	12	44	44	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	123									
12	12	45	45	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	124									
12	12	46	46	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	125									
12	12	47	47	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	126									
13	13	48	48	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	127							13		
13	13	97/2	97/2	1.0	1/8	1/8	Chord	2/2	1	1	1/4	1/4	1	128							13		
13	13	99/2	99/2	1.0	3/8	3/8	Chord	2/2	1	1	1/4	1/4	1	129							13		
13	13	101/2	101/2	1.5	5/8	5/8	Chord	2/2	1	1	3/8	1/4	3/2	130									
13	13	48	48	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	131									
13	13	49	49	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	132									
13	13	50	50	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	133									
13	13	51	51	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	134									
14	14	52	52	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	135							14		
14	14	105/2	105/2	1.0	1/8	1/8	Chord	2/2	1	1	1/4	1/4	1	136							14		
14	14	107/2	107/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	137							14		
14	14	54	54	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	138									
14	14	55	55	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	139							15		
14	14	111/2	111/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	140							15		
14	14	52	52	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	141									
14	14	53	53	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	142							16		
14	14	54	54	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	143									
14	14	55	55	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	144									
15	15	56	56	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	145							15		
15	15	113/2	113/2	1.0	1/8	1/8	Chord	2/2	1	1	1/4	1/4	1	146									
15	15	115/2	115/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	147							17		
15	15	58	58	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	148							17		
15	15	117/2	117/2	1.5	5/8	5/8	Chord	2/2	1	1	3/8	1/4	3/2	149									
15	15	56	56	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	150									
15	15	57	57	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	151									
15	15	58	58	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	152									
15	15	59	59	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	153									
16	16	60	60	1.5	0	0	Chord	2/2	1	1	3/8	1/4	3/2	154		articAccentAbove							
16	16	123/2	123/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	155		articAccentAbove							
16	16	62	62	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	156									
16	16	60	60	0.5	0	0	Chord	2/2	1	2	1/8	1/8	1	157									
16	16	121/2	121/2	1.0	1/8	1/8	Chord	2/2	1	2	1/4	1/4	1	158									
16	16	123/2	123/2	0.5	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	159							18		
16	16	62	62	0.5	1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	160							18		
16	16	125/2	125/2	1.0	5/8	5/8	Chord	2/2	1	2	1/4	1/4	1	161							18		
16	16	127/2	127/2	0.5	7/8	7/8	Chord	2/2	1	2	1/8	1/8	1	162		articAccentAbove							
16	16	60	60	1.5	0	0	Chord	2/2	2	1	3/8	1/4	3/2	163									
16	16	123/2	123/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	164									
16	16	62	62	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	165									
16	16	63	63	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	166									
17	17	259/4	259/4	0.0	3/16	3/16	StaffText	2/2	1	1	0						meno  						
17	17	259/4	259/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	167							19		
17	17	65	65	0.75	1/4	1/4	Chord	2/2	1	1	3/16	1/8	3/2	168							19		
17	17	263/4	263/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	169							19		
17	17	66	66	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	170									
17	17	67	67	0.75	3/4	3/4	Chord	2/2	1	1	3/16	1/8	3/2	171							20		
17	17	271/4	271/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	172							20		
17	17	64	64	4.0	0	0	Chord	2/2	1	2	1	1	1	173									
17	17	64	64	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	174									
17	17	65	65	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	175							21		
17	17	66	66	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	176									
17	17	67	67	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	177									
17	17	65	65	2.0	1/4	1/4	Chord	2/2	2	2	1/2	1/2	1	178									
18	18	68	68	0.75	0	0	Chord	2/2	1	1	3/16	1/8	3/2	179							20		
18	18	275/4	275/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	180							20		
18	18	69	69	0.75	1/4	1/4	Chord	2/2	1	1	3/16	1/8	3/2	181							20		
18	18	279/4	279/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	182							20		
18	18	70	70	0.75	1/2	1/2	Chord	2/2	1	1	3/16	1/8	3/2	183							20		
18	18	283/4	283/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16	1/16	1	184							20		
18	18	71	71	0.75	3/4	3/4	Chord	2/2	1	1	3/16	1/8	3/2	185							20		
18	18	287/4	287/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	186		articAccentAbove							
18	18	68	68	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	187							22		
18	18	69	69	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	188									
18	18	70	70	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	189									
18	18	71	71	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	190									
18	18	68	68	2.0	0	0	Chord	2/2	2	2	1/2	1/2	1	191									
19	19	291/4	291/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	192							23		
19	19	73	73	0.75	1/4	1/4	Chord	2/2	1	1	3/16	1/8	3/2	193							23		
19	19	295/4	295/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	194							23		
19	19	74	74	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	195									
19	19	75	75	0.75	3/4	3/4	Chord	2/2	1	1	3/16	1/8	3/2	196							24		
19	19	303/4	303/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	197							24		
19	19	72	72	4.0	0	0	Chord	2/2	1	2	1	1	1	198									
19	19	72	72	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	199									
19	19	73	73	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	200									
19	19	74	74	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	201									
19	19	75	75	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	202									
20	20	76	76	0.75	0	0	Chord	2/2	1	1	3/16	1/8	3/2	203							24		
20	20	307/4	307/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	204							24		
20	20	77	77	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	205									
20	20	78	78	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12	1/8	2/3	206							25		
20	20	235/3	235/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12	1/8	2/3	207							25		
20	20	236/3	236/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12	1/8	2/3	208							25		
20	20	79	79	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12	1/8	2/3	209							25		
20	20	238/3	238/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12	1/8	2/3	210							25		
20	20	239/3	239/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12	1/8	2/3	211							25		
20	20	76	76	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	212									
20	20	76	76	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	213									
20	20	77	77	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	214									
20	20	78	78	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	215									
20	20	79	79	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	216									
21	21	80	80	4.0	0	0	Chord	2/2	1	1	1	1	1	217									
21	21	323/4	323/4	0.25	3/16	3/16	Chord	2/2	1	2	1/16	1/16	1	218									
21	21	81	81	0.75	1/4	1/4	Chord	2/2	1	2	3/16	1/8	3/2	219									
21	21	327/4	327/4	0.25	7/16	7/16	Chord	2/2	1	2	1/16	1/16	1	220									
21	21	82	82	0.5	1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	221									
21	21	83	83	0.75	3/4	3/4	Chord	2/2	1	2	3/16	1/8	3/2	222							26		
21	21	335/4	335/4	0.25	15/16	15/16	Chord	2/2	1	2	1/16	1/16	1	223							26		
21	21	80	80	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	224									
21	21	81	81	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	225							27		
21	21	82	82	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	226									
21	21	83	83	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	227									
21	21	81	81	2.0	1/4	1/4	Chord	2/2	2	2	1/2	1/2	1	228									
22	22	84	84	4.0	0	0	Chord	2/2	1	1	1	1	1	229									
22	22	84	84	0.75	0	0	Chord	2/2	1	2	3/16	1/8	3/2	230							26		
22	22	339/4	339/4	0.25	3/16	3/16	Chord	2/2	1	2	1/16	1/16	1	231							26		
22	22	85	85	0.5	1/4	1/4	Chord	2/2	1	2	1/8	1/8	1	232									
22	22	171/2	171/2	0.5	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	233									
22	22	86	86	0.75	1/2	1/2	Chord	2/2	1	2	3/16	1/8	3/2	234									
22	22	347/4	347/4	0.25	11/16	11/16	Chord	2/2	1	2	1/16	1/16	1	235									
22	22	87	87	0.75	3/4	3/4	Chord	2/2	1	2	3/16	1/8	3/2	236									
22	22	351/4	351/4	0.25	15/16	15/16	Chord	2/2	1	2	1/16	1/16	1	237									
22	22	84	84	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	238							28		
22	22	85	85	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	239									
22	22	86	86	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	240									
22	22	87	87	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	241									
22	22	84	84	2.0	0	0	Chord	2/2	2	2	1/2	1/2	1	242									
23	23	355/4	355/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	243							29		
23	23	89	89	0.75	1/4	1/4	Chord	2/2	1	1	3/16	1/8	3/2	244							29		
23	23	359/4	359/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	245							29		
23	23	90	90	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	246									
23	23	91	91	0.75	3/4	3/4	Chord	2/2	1	1	3/16	1/8	3/2	247									
23	23	367/4	367/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	248									
23	23	88	88	4.0	0	0	Chord	2/2	1	2	1	1	1	249									
23	23	88	88	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	250									
23	23	89	89	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	251							30		
23	23	90	90	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	252									
23	23	91	91	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	253									
24	24	92	92	0.75	0	0	Chord	2/2	1	1	3/16	1/8	3/2	254									
24	24	371/4	371/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	255									
24	24	93	93	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	256									
24	24	94	94	0.0	1/2	1/2	Spanner	2/2	1	1	0												0
24	24	94	94	0.3333333333333333	1/2	1/2	Chord	2/2	1	1	1/12	1/8	2/3	257									0
24	24	283/3	283/3	0.3333333333333333	7/12	7/12	Chord	2/2	1	1	1/12	1/8	2/3	258									0
24	24	284/3	284/3	0.3333333333333333	2/3	2/3	Chord	2/2	1	1	1/12	1/8	2/3	259									0
24	24	95	95	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12	1/8	2/3	260									0
24	24	286/3	286/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12	1/8	2/3	261									0
24	24	287/3	287/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12	1/8	2/3	262									0
24	24	92	92	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	263									0
24	24	92	92	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	264							31		
24	24	93	93	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	265									
24	24	94	94	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	266									
24	24	95	95	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	267									
25	25	96	96	0.0	0	0	Dynamic	2/2	1	1	0				f								
25	25	96	96	0.0	0	0	Spanner	2/2	1	1	0												
25	25	193/2	193/2	0.0	1/8	1/8	StaffText	2/2	1	1	0						stacc.						
25	25	193/2	193/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	268									
25	25	97	97	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	269									
25	25	98	98	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	270									
25	25	197/2	197/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	271									
25	25	199/2	199/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	272									
25	25	96	96	0.5	0	0	Chord	2/2	2	1	1/8	1/8	1	273									
25	25	195/2	195/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	274									
25	25	99	99	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	275									
26	26	100	100	0.5	0	0	Chord	2/2	2	1	1/8	1/8	1	276									
26	26	201/2	201/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	277									
26	26	101	101	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	278									
