mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	Ottava:8va
5	5	58/3	58/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	49									11		
5	5	59/3	59/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	50									11		
5	5	16	16	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	51											
5	5	17	17	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	52											
5	5	18	18	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	53											
5	5	19	19	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	54											
6	6	20	20	0.75		0	0	Chord	2/2	1	1	3/16		1/8	3/2	55											
6	6	83/4	83/4	0.25		3/16	3/16	Chord	2/2	1	1	1/16		1/16	1	56									12		
6	6	21	21	0.75		1/4	1/4	Chord	2/2	1	1	3/16		1/8	3/2	57											
6	6	87/4	87/4	0.25		7/16	7/16	Chord	2/2	1	1	1/16		1/16	1	58									13		
6	6	22	22	0.75		1/2	1/2	Chord	2/2	1	1	3/16		1/8	3/2	59											
6	6	91/4	91/4	0.25		11/16	11/16	Chord	2/2	1	1	1/16		1/16	1	60									14		
6	6	23	23	0.75		3/4	3/4	Chord	2/2	1	1	3/16		1/8	3/2	61											
6	6	95/4	95/4	0.25		15/16	15/16	Chord	2/2	1	1	1/16		1/16	1	62									15		
6	6	20	20	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	63											
6	6	21	21	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	64											
6	6	22	22	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	65											
6	6	23	23	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	66											
7	7	24	24	0.3333333333333333		0	0	Chord	2/2	1	1	1/12		1/8	2/3	67											
7	7	73/3	73/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	68		articStaccatoBelow									
7	7	74/3	74/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	69		articStaccatoBelow									
7	7	25	25	0.0		1/4	1/4	Spanner	2/2	1	1	0														0	
7	7	25	25	0.75		1/4	1/4	Chord	2/2	1	1	3/16		1/8	3/2	70		articStaccatoBelow								0	
7	7	103/4	103/4	0.25		7/16	7/16	Chord	2/2	1	1	1/16		1/16	1	71									16	0	
7	7	26	26	0.6666666666666666		1/2	1/2	Chord	2/2	1	1	1/6		1/4	2/3	72									16	0	
7	7	80/3	80/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	73									16	0	
7	7	27	27	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	74									16	0	
7	7	82/3	82/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	75									16	0	
7	7	83/3	83/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	76									16	0	
7	7	24	24	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	77											
7	7	25	25	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	78											
7	7	26	26	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	79											
7	7	27	27	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	80											
8	8	28	28	0.0		0	0	Dynamic	2/2	1	1	0					mf								16		
8	8	28	28	0.0		0	0	Spanner	2/2	1	1	0													16		
8	8	28	28	0.25		0	0	Chord	2/2	1	1	1/16		1/16	1	81									16		
8	8	113/4	113/4	0.5		1/16	1/16	Chord	2/2	1	1	1/8		1/8	1	82									16		
8	8	115/4	115/4	0.25		3/16	3/16	Chord	2/2	1	1	1/16		1/16	1	83									16		
8	8	29	29	0.25		1/4	1/4	Chord	2/2	1	1	1/16		1/16	1	84											
8	8	59/2	59/2	0.25		3/8	3/8	Chord	2/2	1	1	1/16		1/16	1	85									17		
8	8	119/4	119/4	0.5		7/16	7/16	Chord	2/2	1	1	1/8		1/8	1	86									17		
8	8	121/4	121/4	0.25		9/16	9/16	Chord	2/2	1	1	1/16		1/16	1	87									17		
8	8	61/2	61/2	0.25		5/8	5/8	Chord	2/2	1	1	1/16		1/16	1	88											
8	8	31	31	0.25		3/4	3/4	Chord	2/2	1	1	1/16		1/16	1	89									18		
8	8	125/4	125/4	0.5		13/16	13/16	Chord	2/2	1	1	1/8		1/8	1	90									18		
8	8	127/4	127/4	0.25		15/16	15/16	Chord	2/2	1	1	1/16		1/16	1	91									18		
8	8	28	28	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	92		articStaccatoAbove									
8	8	57/2	57/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	93		articStaccatoAbove									
8	8	29	29	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	94		articStaccatoAbove									
8	8	59/2	59/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	95		articStaccatoAbove									
8	8	30	30	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	96		articStaccatoAbove									
8	8	61/2	61/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	97		articStaccatoAbove									
8	8	31	31	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	98		articStaccatoAbove									
8	8	63/2	63/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	99		articStaccatoAbove									
9	9	32	32	0.25		0	0	Chord	2/2	1	1	1/16		1/16	1	100											
9	9	65/2	65/2	0.25		1/8	1/8	Chord	2/2	1	1	1/16		1/16	1	101									19		
9	9	131/4	131/4	0.5		3/16	3/16	Chord	2/2	1	1	1/8		1/8	1	102									19		
9	9	133/4	133/4	0.25		5/16	5/16	Chord	2/2	1	1	1/16		1/16	1	103									19		
9	9	67/2	67/2	0.25		3/8	3/8	Chord	2/2	1	1	1/16		1/16	1	104											
9	9	34	34	0.25		1/2	1/2	Chord	2/2	1	1	1/16		1/16	1	105											
9	9	137/4	137/4	0.5		9/16	9/16	Chord	2/2	1	1	1/8		1/8	1	106									20		
9	9	139/4	139/4	0.25		11/16	11/16	Chord	2/2	1	1	1/16		1/16	1	107									20		
9	9	35	35	0.25		3/4	3/4	Chord	2/2	1	1	1/16		1/16	1	108									20		
9	9	32	32	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	109											
9	9	65/2	65/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	110											
9	9	33	33	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	111											
9	9	67/2	67/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	112											
9	9	34	34	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	113											
9	9	69/2	69/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	114											
9	9	141/4	141/4	0.25		13/16	13/16	Chord	2/2	2	1	1/16		1/16	1	115											
9	9	71/2	71/2	0.25		7/8	7/8	Chord	2/2	2	1	1/16		1/16	1	116											
10	10	36	36	0.0		0	0	Dynamic	2/2	2	1	0					mp										
10	10	36	36	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	117											
10	10	37	37	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	118		articStaccatoAbove									
10	10	38	38	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	119											
10	10	39	39	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	120		articStaccatoAbove									
11	11	40	40	0.0		0	0	Chord	2/2	1	1	0	grace16	1/16	1	121									21		
11	11	40	40	0.0		0	0	Chord	2/2	1	1	0	grace16	1/16	1	122									21		
11	11	40	40	0.0		0	0	Chord	2/2	1	1	0	grace16	1/16	1	123									21		
11	11	40	40	0.75		0	0	Chord	2/2	1	1	3/16		1/8	3/2	124									21		
11	11	163/4	163/4	0.25		3/16	3/16	Chord	2/2	1	1	1/16		1/16	1	125									21, 22		
11	11	41	41	0.75		1/4	1/4	Chord	2/2	1	1	3/16		1/8	3/2	126									21		
11	11	167/4	167/4	0.25		7/16	7/16	Chord	2/2	1	1	1/16		1/16	1	127									23		
11	11	42	42	0.75		1/2	1/2	Chord	2/2	1	1	3/16		1/8	3/2	128											
11	11	171/4	171/4	0.25		11/16	11/16	Chord	2/2	1	1	1/16		1/16	1	129									24		
11	11	43	43	0.75		3/4	3/4	Chord	2/2	1	1	3/16		1/8	3/2	130											
11	11	175/4	175/4	0.25		15/16	15/16	Chord	2/2	1	1	1/16		1/16	1	131									25		
11	11	40	40	4.0		0	0	Chord	2/2	1	2	1		1	1	132											
11	11	40	40	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	133											
11	11	41	41	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	134		articStaccatoAbove									
11	11	42	42	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	135											
11	11	43	43	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	136		articStaccatoAbove									
12	12	44	44	2.0		0	0	Chord	2/2	1	1	1/2		1/2	1	137											
12	12	46	46	0.3333333333333333		1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	138											
12	12	140/3	140/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	139									26		
12	12	47	47	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	140									26		
12	12	142/3	142/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	141									26		
12	12	143/3	143/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	142											
12	12	44	44	0.75		0	0	Chord	2/2	1	2	3/16		1/8	3/2	143		articTenutoBelow									
12	12	179/4	179/4	0.25		3/16	3/16	Chord	2/2	1	2	1/16		1/16	1	144		articStaccatoBelow									
12	12	45	45	0.3333333333333333		1/4	1/4	Chord	2/2	1	2	1/12		1/8	2/3	145		articStaccatoBelow									
12	12	136/3	136/3	0.3333333333333333		1/3	1/3	Chord	2/2	1	2	1/12		1/8	2/3	146		articStaccatoBelow									
12	12	137/3	137/3	0.3333333333333333		5/12	5/12	Chord	2/2	1	2	1/12		1/8	2/3	147		articStaccatoBelow									
12	12	44	44	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	148											
12	12	45	45	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	149											
12	12	46	46	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	150											
12	12	47	47	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	151											
13	13	48	48	0.75		0	0	Chord	2/2	1	1	3/16		1/8	3/2	152											
13	13	195/4	195/4	0.25		3/16	3/16	Chord	2/2	1	1	1/16		1/16	1	153									27		
13	13	49	49	0.75		1/4	1/4	Chord	2/2	1	1	3/16		1/8	3/2	154											
13	13	199/4	199/4	0.25		7/16	7/16	Chord	2/2	1	1	1/16		1/16	1	155									28		
13	13	50	50	0.3333333333333333		1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	156									28		
13	13	151/3	151/3	0.3333333333333333		7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	157									28		
13	13	152/3	152/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	158									28		
13	13	51	51	0.75		3/4	3/4	Chord	2/2	1	1	3/16		1/8	3/2	159											
13	13	207/4	207/4	0.25		15/16	15/16	Chord	2/2	1	1	1/16		1/16	1	160									29		
13	13	48	48	2.0		0	0	Chord	2/2	1	2	1/2		1/2	1	161									30		
13	13	48	48	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	162											
13	13	49	49	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	163											
13	13	50	50	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	164											
13	13	51	51	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	165											
14	14	52	52	0.75		0	0	Chord	2/2	1	1	3/16		1/8	3/2	166											
14	14	211/4	211/4	0.25		3/16	3/16	Chord	2/2	1	1	1/16		1/16	1	167									31		
14	14	53	53	2.0		1/4	1/4	Chord	2/2	1	1	1/2		1/2	1	168											
14	14	55	55	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	169									32		
14	14	166/3	166/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	170									32		
14	14	167/3	167/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	171									32		
14	14	52	52	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	172											
14	14	53	53	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	173											
14	14	54	54	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	174											
14	14	55	55	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	175											
15	15	56	56	0.75		0	0	Chord	2/2	1	1	3/16		1/8	3/2	176											
15	15	227/4	227/4	0.25		3/16	3/16	Chord	2/2	1	1	1/16		1/16	1	177									33		
15	15	57	57	0.75		1/4	1/4	Chord	2/2	1	1	3/16		1/8	3/2	178											
15	15	231/4	231/4	0.25		7/16	7/16	Chord	2/2	1	1	1/16		1/16	1	179									34		
15	15	58	58	0.3333333333333333		1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	180											
15	15	175/3	175/3	0.3333333333333333		7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	181											
15	15	176/3	176/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	182											
15	15	59	59	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	183											
15	15	178/3	178/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	184											
15	15	179/3	179/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	185											
15	15	56	56	1.0		0	0	Chord	2/2	1	2	1/4		1/4	1	186											
15	15	57	57	1.0		1/4	1/4	Chord	2/2	1	2	1/4		1/4	1	187											
15	15	56	56	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	188											
15	15	57	57	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	189											
15	15	58	58	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	190											
15	15	59	59	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	191											
16	16	60	60	0.3333333333333333		0	0	Chord	2/2	1	1	1/12		1/8	2/3	192									35		
16	16	181/3	181/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	193									35		
16	16	182/3	182/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	194									35		
16	16	61	61	0.0		1/4	1/4	Spanner	2/2	1	1	0														1	
16	16	61	61	0.75		1/4	1/4	Chord	2/2	1	1	3/16		1/8	3/2	195										1	
16	16	247/4	247/4	0.25		7/16	7/16	Chord	2/2	1	1	1/16		1/16	1	196									36	1	
16	16	62	62	0.3333333333333333		1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	197									36	1	
16	16	187/3	187/3	0.3333333333333333		7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	198									36	1	
16	16	188/3	188/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	199									36	1	
16	16	63	63	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	200									36	1	
16	16	190/3	190/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	201									36	1	
16	16	191/3	191/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	202									36	1	
16	16	60	60	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	203											
16	16	61	61	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	204											
16	16	62	62	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	205											
16	16	63	63	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	206											
17	17	64	64	0.0		0	0	Spanner	2/2	1	1	0													36		
17	17	64	64	0.25		0	0	Chord	2/2	1	1	1/16		1/16	1	207									36		
17	17	257/4	257/4	0.5		1/16	1/16	Chord	2/2	1	1	1/8		1/8	1	208									36		
17	17	259/4	259/4	0.25		3/16	3/16	Chord	2/2	1	1	1/16		1/16	1	209									36		
17	17	65	65	0.25		1/4	1/4	Chord	2/2	1	1	1/16		1/16	1	210											
17	17	131/2	131/2	0.25		3/8	3/8	Chord	2/2	1	1	1/16		1/16	1	211									37		
17	17	263/4	263/4	0.5		7/16	7/16	Chord	2/2	1	1	1/8		1/8	1	212									37		
17	17	265/4	265/4	0.25		9/16	9/16	Chord	2/2	1	1	1/16		1/16	1	213									37		
17	17	133/2	133/2	0.25		5/8	5/8	Chord	2/2	1	1	1/16		1/16	1	214											
17	17	67	67	0.25		3/4	3/4	Chord	2/2	1	1	1/16		1/16	1	215									38		
17	17	269/4	269/4	0.5		13/16	13/16	Chord	2/2	1	1	1/8		1/8	1	216									38		
17	17	271/4	271/4	0.25		15/16	15/16	Chord	2/2	1	1	1/16		1/16	1	217									38		
17	17	64	64	0.0		0	0	Dynamic	2/2	1	2	0					mf										
17	17	64	64	0.5		0	0	Chord	2/2	1	2	1/8		1/8	1	218											
17	17	129/2	129/2	0.5		1/8	1/8	Chord	2/2	1	2	1/8		1/8	1	219											
17	17	65	65	0.5		1/4	1/4	Chord	2/2	1	2	1/8		1/8	1	220											
17	17	131/2	131/2	0.5		3/8	3/8	Chord	2/2	1	2	1/8		1/8	1	221											
17	17	66	66	0.5		1/2	1/2	Chord	2/2	1	2	1/8		1/8	1	222											
17	17	133/2	133/2	0.5		5/8	5/8	Chord	2/2	1	2	1/8		1/8	1	223											
17	17	67	67	0.5		3/4	3/4	Chord	2/2	1	2	1/8		1/8	1	224											
17	17	135/2	135/2	0.5		7/8	7/8	Chord	2/2	1	2	1/8		1/8	1	225											
18	18	68	68	0.25		0	0	Chord	2/2	1	1	1/16		1/16	1	226											
18	18	137/2	137/2	0.25		1/8	1/8	Chord	2/2	1	1	1/16		1/16	1	227									39		
18	18	275/4	275/4	0.5		3/16	3/16	Chord	2/2	1	1	1/8		1/8	1	228									39		
18	18	277/4	277/4	0.25		5/16	5/16	Chord	2/2	1	1	1/16		1/16	1	229									39		
18	18	139/2	139/2	0.25		3/8	3/8	Chord	2/2	1	1	1/16		1/16	1	230											
18	18	70	70	0.25		1/2	1/2	Chord	2/2	1	1	1/16		1/16	1	231									40		
18	18	281/4	281/4	0.5		9/16	9/16	Chord	2/2	1	1	1/8		1/8	1	232									40		
18	18	283/4	283/4	0.25		11/16	11/16	Chord	2/2	1	1	1/16		1/16	1	233									40		
18	18	71	71	0.25		3/4	3/4	Chord	2/2	1	1	1/16		1/16	1	234									40		
18	18	287/4	287/4	0.0		15/16	15/16	Dynamic	2/2	1	1	0					other-dynamics										
18	18	287/4	287/4	0.25		15/16	15/16	Chord	2/2	1	1	1/16		1/16	1	235									41		
18	18	70	70	1.0		1/2	1/2	Chord	2/2	1	2	1/4		1/4	1	236											
18	18	68	68	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	237											
18	18	137/2	137/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	238											
18	18	69	69	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	239											
18	18	139/2	139/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	240											
18	18	70	70	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	241											
18	18	141/2	141/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	242											
18	18	285/4	285/4	0.25		13/16	13/16	Chord	2/2	2	1	1/16		1/16	1	243											
18	18	143/2	143/2	0.25		7/8	7/8	Chord	2/2	2	1	1/16		1/16	1	244											
19	19	72	72	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	245									41		
19	19	145/2	145/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	246									41		
19	19	73	73	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	247											
19	19	147/2	147/2	0.0		3/8	3/8	Spanner	2/2	1	1	0														2	
19	19	147/2	147/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	248									42	2	
19	19	74	74	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	249									42	2	
19	19	149/2	149/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	250									42	2	
19	19	75	75	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	251									42	2	
19	19	72	72	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	252											
19	19	73	73	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	253											
19	19	74	74	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	254											
19	19	75	75	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	255											
20	20	76	76	0.0		0	0	Dynamic	2/2	1	1	0					sfz										
20	20	76	76	0.0		0	0	Spanner	2/2	1	1	0															
20	20	76	76	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	256		articAccentAbove									
20	20	155/2	155/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	257		articAccentAbove							43		
20	20	78	78	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	258									43		
20	20	157/2	157/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	259									43		
20	20	79	79	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	260											
20	20	76	76	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	261											
20	20	77	77	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	262											
20	20	78	78	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	263											
20	20	79	79	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	264											
21	21	161/2	161/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	265											
21	21	163/2	163/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	266									44		
21	21	82	82	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	267									44		
